',time,R + G3,R + G3 + G2,R + G3 + G2 + G1,R + G3 + T3,R + G3 + G2 + T2,R+ G3 + G2 + G1 + X,nn R + G3,nn R + G3 + G2,nn R + G3 + G2 + G1,nn R + G3 + T3,nn R + G3 + G2 + T2,nn R+ G3 + G2 + G1 + X
0,0,4083,4040,4139,4275,4226,4190,4084,3881,4189,4192,4232,4122
1,60,4029,4290,4190,4089,4097,4077,4010,4129,4109,4205,4169,4291
2,120,3916,4438,4110,4437,4210,4318,3920,4017,4150,4616,4443,4033
3,180,4209,4249,4070,4440,3723,4633,4102,4291,4161,4834,4543,4596
4,240,4343,4161,4195,4506,3954,4572,4167,4367,4249,5464,4796,4507
5,300,4272,4320,4275,4514,4158,4586,4162,4142,4478,5464,4904,4648
6,360,4039,4296,4271,4482,4530,4547,4029,4265,4509,5893,5124,4904
7,420,4394,4114,3836,4472,4522,4924,4214,4001,4362,5955,5484,5285
8,480,4064,4422,4237,4860,4468,4540,4048,4409,4366,6099,5561,5335
9,540,4148,4159,4299,5177,4509,4886,4437,4393,4643,6488,5537,5604
10,600,4417,4043,4351,5260,4581,4766,4409,4591,4538,7109,6153,6023
11,660,4095,4337,4251,5115,4893,4879,4121,4514,4460,7163,6427,5844
12,720,4286,4182,4423,5102,4848,5113,4363,4448,4392,7524,6557,6230
13,780,4439,4422,4489,5288,5214,5015,4082,4301,4744,8019,6630,6463
14,840,4363,4593,4257,6004,4967,5037,4340,4482,4440,8223,7033,6641
15,900,4330,4134,4156,5968,5284,5424,4297,4747,4600,8052,7298,6357
16,960,4456,4523,4025,5885,5402,5291,4342,4630,4680,8411,7148,7160
17,1020,4343,4569,4680,5956,5479,5287,4060,4760,4422,8817,7643,7165
18,1080,4337,4466,4335,5887,5478,5781,4253,4569,4849,8816,7552,7704
19,1140,4414,4434,4584,6531,5523,5574,4225,4692,4603,9417,7950,7586
20,1200,4575,4439,4404,6682,5854,5661,4149,4589,4695,9490,8144,7410
21,1260,4085,4727,4401,6800,6326,6082,4259,4908,4795,9846,8323,7729
