,time,N25-10µM_1,N25-10µM_2,N25-10µM_3,N25-10µM(nn)_1,N25-10µM(nn)_2,N25-10µM(nn)_3,N25-25µM_1,N25-25µM_2,N25-25µM_3,N25-25µM(nn)_1,N25-25µM(nn)_2,N25-25µM(nn)_3,N50-10µM_1,N50-10µM_2,N50-10µM_3,N50-10µM(nn)_1,N50-10µM(nn)_2,N50-10µM(nn)_3,N50-25µM_1,N50-25µM_2,N50-25µM_3,N50-25µM(nn)_1,N50-25µM(nn)_2,N50-25µM(nn)_3,RNA N183 5µM_1,RNA N183 5µM_2,RNA N183 5µM_3,RNA N183 5µM(nn)_1,RNA N183 5µM(nn)_2,RNA N183 5µM(nn)_3
0,0,4361,4369,4489,4771,4537,4697,4170,4258,4195,4587,4686,4443,4287,4322,4122,4425,4527,4507,3979,4163,4442,4792,4908,4750,4236,4614,4695,4763,4510,4731
1,60,4249,4290,4274,4733,4628,4729,3951,4294,4079,4547,4208,4401,4433,4323,4200,4498,4377,4590,3809,4395,4188,4467,4648,4773,4356,4695,4549,4729,4727,4888
2,120,4541,4313,4071,4868,4571,4713,4319,4039,4330,4539,4534,4486,4231,4192,3932,4559,4363,4644,4259,4320,4017,4633,4580,4626,4233,4740,4718,4484,4771,4868
3,180,4369,4285,4185,4576,4824,4764,4084,4339,4187,4510,4508,4781,4232,4142,4455,4609,4649,4646,4289,4151,4447,4465,4408,4806,4321,4491,4616,4877,4969,5045
4,240,4281,4269,4171,4969,4650,4794,3858,4344,4211,4489,4706,4488,4184,3982,4304,4520,4450,4321,4043,4026,4108,4523,4770,4623,4233,4752,4702,4743,4906,5031
5,300,4345,4247,4402,5018,4804,4595,4376,4287,4204,4521,4569,4738,4234,4319,4111,4375,4610,4363,4282,4466,4204,4503,4638,4394,4361,4408,4642,4783,4946,4884
6,360,4284,4284,4443,4869,4807,4742,4102,4239,4306,4314,4702,4736,4179,4288,4376,4760,4780,4571,3987,4106,4258,4489,4608,4711,4304,4486,4751,5016,5096,5232
7,420,4563,4336,4265,4929,5007,5227,4108,4409,4452,4562,4848,4534,4248,4264,4305,4176,4739,4500,4230,4100,4355,4639,4828,4452,4384,4851,4906,4623,5177,5250
8,480,4354,4238,4397,4972,4818,5044,4402,4198,4443,4198,4848,4437,4268,4484,4363,4631,4686,4573,4178,4449,4075,4206,4313,4755,4433,4462,5017,4985,4962,5402
9,540,4360,4533,4474,5089,4901,4962,4582,4296,4148,4762,4613,4782,4323,4091,4240,4525,4890,4515,4492,4423,4018,4691,4541,4687,4434,4594,4820,5009,5390,5650
