,time,Inv C: Rep G,Inv C : Rep T,Inv C : Rep C,Inv C : Rep A,Inv isoC : Rep G,Inv isoC: Rep T,Inv isoC: Rep C,Inv isoC: Rep A,Inv isoC : Rep isoG
0,0,1.315270936,0.197044335,0.4293924466,0.1912972085,0.157635468,0.4638752053,0.2183908046,0.1510673235,3.883278582
1,60,1.808702791,0.4096880131,0.1666666667,0.2036124795,0.3054187192,0.4014778325,0.6510673235,0.3628899836,5.669789512
2,120,2.38998358,0.2380952381,0.473727422,0.2397372742,0.4302134647,0.3620689655,0.1658456486,0.1034482759,6.869246056
3,180,3.023809524,0.236453202,0.2586206897,0.4039408867,0.1691297209,0.5098522167,0.1141215107,0.2003284072,7.806099688
4,240,3.263546798,0.3472906404,0.4548440066,0.1420361248,0.3251231527,0.6420361248,0.3981937603,0.3834154351,9.173865434
5,300,3.578817734,0.4556650246,0.4811165846,0.3087027915,0.2274220033,0.6502463054,0.224137931,0.2660098522,10.00831407
6,360,3.928571429,0.5648604269,0.5082101806,0.3070607553,0.4844006568,0.5320197044,0.2586206897,0.5566502463,10.64505009
7,420,4.289819376,0.4367816092,0.5049261084,0.3267651888,0.170771757,0.5139573071,0.3456486043,0.3226600985,11.80699193
8,480,4.748768473,0.5,0.6387520525,0.4220032841,0.3374384236,0.7397372742,0.1559934319,0.2742200328,11.86478485
9,540,4.996715928,0.4564860427,0.3719211823,0.3743842365,0.2939244663,0.4532019704,0.2684729064,0.07471264368,12.52281299
10,600,5.479474548,0.6724137931,0.9162561576,0.3226600985,0.2068965517,0.8341543514,0.3842364532,0.1330049261,13.37247029
11,660,5.416256158,0.5123152709,0.2873563218,0.1699507389,0.3464696223,0.3563218391,0.158456486,0.1740558292,13.14231253
12,720,6.165024631,0.4014778325,0.4786535304,0.2036124795,0.5730706076,0.9178981938,0.2200328407,0.3981937603,14.14304254
13,780,6.477832512,0.5706075534,0.4441707718,0.302134647,0.4885057471,0.749589491,0.06896551724,0.4934318555,14.3721864
14,840,6.250410509,0.7397372742,0.4277504105,-0.039408867,0.4523809524,0.9326765189,0.276683087,0.6280788177,14.9886442
15,900,6.831691297,0.749589491,0.5221674877,0.1921182266,0.8612479475,0.6379310345,0.6026272578,0.4917898194,15.241108
16,960,7.358784893,0.7348111658,0.6346469622,0.3136288998,0.4720853859,0.7208538588,0.1732348112,0.5180623974,15.4834327
17,1020,7.091133005,0.815270936,0.565681445,0.1625615764,0.5779967159,0.7307060755,0.4802955665,0.5977011494,15.97517946
18,1080,7.379310345,0.5057471264,0.657635468,0.2463054187,0.302955665,0.6789819376,0.289819376,0.5098522167,15.94577605
19,1140,7.823481117,0.7068965517,0.5911330049,0.3530377668,0.5623973727,0.9351395731,0.2586206897,0.7208538588,15.94374823
20,1200,8.177339901,0.6510673235,0.5254515599,0.421182266,0.7717569787,0.6748768473,0.5139573071,0.619047619,16.47605143
21,1260,8.399014778,0.697865353,0.8719211823,0.316091954,0.4679802956,1.017241379,0.3513957307,0.5410509031,16.41116113
22,1320,8.534482759,0.6789819376,0.8144499179,0.3489326765,0.7577996716,0.645320197,0.4688013136,0.4072249589,16.60583202
23,1380,9.222495895,0.5476190476,0.6510673235,0.5730706076,0.5402298851,0.5303776683,0.6239737274,0.539408867,17.5193657
24,1440,9.097701149,0.7019704433,0.5665024631,0.1962233169,0.6420361248,0.8891625616,0.5591133005,0.539408867,17.77284341
25,1500,9.123152709,0.7413793103,0.6223316913,0.6297208539,0.7011494253,0.670771757,0.2848932677,0.7972085386,17.1928864
26,1560,9.853858785,0.6732348112,0.7873563218,0.5451559934,0.7865353038,0.6740558292,0.5640394089,0.6288998358,17.70795312
27,1620,9.638752053,0.486863711,0.8431855501,0.3103448276,0.724137931,1.106732348,0.328407225,0.6403940887,18.01009855
28,1680,9.286535304,0.6756978654,0.5574712644,0.4318555008,0.842364532,1.011494253,0.3842364532,0.7422003284,17.55992213
29,1740,10.15517241,0.763546798,0.7742200328,0.5681444992,0.8045977011,0.7750410509,0.5024630542,0.8136288998,18.64176502
30,1800,10.02627258,0.8965517241,0.380952381,0.3243021346,0.9261083744,0.750410509,0.380952381,1.072249589,17.81339985
31,1860,10.71674877,0.7857142857,0.5968801314,0.4310344828,1.044334975,1.015599343,0.3661740558,0.908045977,18.28791013
32,1920,10.74958949,0.4786535304,0.6428571429,0.6018062397,0.7454844007,0.7955665025,0.8136288998,0.9425287356,18.44101067
33,1980,10.48686371,0.7594417077,0.5114942529,0.4113300493,0.776683087,1.065681445,0.4802955665,0.8883415435,18.72794744
34,2040,10.68226601,0.63136289,0.6559934319,0.6765188834,0.763546798,0.8998357964,0.5057471264,0.6814449918,18.46940017
35,2100,11.00410509,0.6543513957,0.8431855501,0.5172413793,0.7003284072,0.9302134647,0.4392446634,0.6650246305,18.89727055
36,2160,10.73152709,0.8587848933,0.7036124795,0.3760262726,0.8366174056,0.9170771757,0.4441707718,0.9392446634,18.26256236
37,2220,11.71921182,0.7972085386,0.9031198686,0.3891625616,0.7471264368,0.6617405583,0.7036124795,1.037766831,18.9763556
38,2280,11.23481117,0.6042692939,0.5714285714,0.4811165846,0.76272578,0.8440065681,0.4597701149,0.9950738916,18.23417285
39,2340,11.79064039,0.8661740558,0.6264367816,0.4277504105,1.066502463,0.8825944171,0.7331691297,0.8333333333,18.81007422
40,2400,11.83990148,0.7348111658,0.7676518883,0.2832512315,0.9195402299,0.9334975369,0.1896551724,0.8932676519,18.66711279
41,2460,12.19376026,0.552545156,0.8390804598,0.4105090312,0.7405582923,0.8612479475,0.6223316913,0.9901477833,19.33223831
42,2520,11.82183908,1.085385878,0.7085385878,0.5016420361,0.8694581281,0.9318555008,0.5353037767,1.100164204,19.03617634
43,2580,11.79146141,0.9671592775,0.6806239737,0.802134647,1.015599343,0.9794745484,0.5574712644,0.6945812808,18.62858417
44,2640,12.15763547,0.7290640394,0.6954022989,0.4302134647,0.6699507389,0.7249589491,0.6215106732,0.9671592775,18.84758892
45,2700,12.42036125,1.119868637,0.8513957307,0.3431855501,1.017241379,1.034482759,0.5985221675,1.031198686,18.9114653
46,2760,12.61904762,0.4310344828,0.4876847291,0.6379310345,1.277504105,0.8407224959,0.4441707718,0.9047619048,18.79385164
47,2820,12.96633826,0.9277504105,0.5894909688,0.5500821018,0.9178981938,0.7791461412,0.7167487685,1.094417077,19.39814252
48,2880,12.90229885,0.7528735632,0.7922824302,0.5886699507,1.027914614,0.7931034483,0.5673234811,1.018883415,19.7418583
49,2940,13.08128079,0.9187192118,0.7725779967,0.4326765189,1.069786535,0.7307060755,0.9794745484,0.9983579639,19.21361074
50,3000,13.26847291,0.6888341544,0.8620689655,0.3431855501,0.816091954,0.8177339901,0.4983579639,0.8267651888,19.37380865
51,3060,12.94417077,0.9770114943,0.6724137931,0.6592775041,0.9482758621,1.087027915,0.3177339901,0.9392446634,19.48026929
52,3120,13.4318555,0.7192118227,0.8464696223,0.5213464696,1.058292282,0.657635468,0.7487684729,0.8243021346,19.53502048
53,3180,13.62233169,0.8062397373,0.4433497537,0.3801313629,1.02134647,0.7676518883,0.8054187192,1.013136289,19.78545646
54,3240,13.48604269,0.5205254516,0.4228243021,0.5353037767,1.086206897,0.6371100164,0.5197044335,1.117405583,18.85975585
55,3300,13.98932677,0.7200328407,0.5041050903,0.4696223317,1.30952381,0.9671592775,0.7742200328,0.9137931034,19.0980249
56,3360,13.63546798,0.8481116585,0.7586206897,0.5582922824,1.193760263,0.8169129721,0.7339901478,1.177339901,19.57152127
57,3420,13.49835796,0.8850574713,0.8612479475,0.6379310345,1.0591133,1.013136289,0.8481116585,1.196223317,19.3220992
58,3480,13.98440066,0.842364532,0.5894909688,0.855500821,1.29228243,0.8661740558,0.7151067323,0.8932676519,19.30891836
59,3540,13.67651888,0.6806239737,0.7536945813,0.4400656814,1.169950739,0.8399014778,0.5821018062,0.9967159278,19.34744697
60,3600,13.83908046,0.9334975369,0.8193760263,0.8924466338,1.400656814,0.9532019704,0.6247947455,0.9975369458,20.040962
61,3660,14.10837438,0.8489326765,0.8866995074,0.5238095238,1.05090312,1.325123153,0.7569786535,1.040229885,19.96897433
62,3720,13.56896552,0.6412151067,0.855500821,0.6141215107,1.42364532,0.8357963875,0.4006568144,1.070607553,19.3312244
63,3780,14.16995074,1.082101806,0.6592775041,0.9022988506,1.399014778,1.089490969,0.6937602627,1.02545156,19.68710711
64,3840,14.52627258,0.6814449918,0.986863711,0.6215106732,1.049261084,0.7044334975,0.8456486043,1.126436782,19.50561707
65,3900,14.61658456,0.829228243,0.8776683087,0.6280788177,0.8054187192,0.8850574713,0.5821018062,1.016420361,19.50460316
66,3960,14.4589491,0.6592775041,0.7561576355,0.5878489327,1.311165846,0.8357963875,0.5648604269,1.057471264,19.69014884
67,4020,14.68555008,0.9392446634,0.9950738916,0.5755336617,1.041871921,1.005747126,0.9031198686,1.231527094,19.50054751
68,4080,15.08784893,0.9581280788,0.9975369458,0.4926108374,1.498357964,0.7413793103,0.7569786535,1.142857143,19.33933569
