time,no inc1,no inc2,no inc3,no inc_nn1,no inc_nn2,no inc_nn3,trig inc1,trig inc2,trig inc3,trig inc_nn1,trig inc_nn2,trig inc_nn3,cascade inc1,cascade inc2,cascade inc3,cascade inc_nn1,cascade inc_nn2,cascade inc_nn3
0,4250,4493,4448,4423,4309,4219,4034,4338,4249,4377,4195,4342,4997,4996,4864,5232,4755,4863
60,4577,4388,4203,4325,4213,4108,4354,4241,4260,4271,4442,4362,5096,5001,5140,4718,4826,5189
120,4347,4594,4565,4534,4370,4266,4349,4295,4347,4803,4403,4277,5026,5050,5139,4914,5256,4818
180,4560,4559,4534,4446,4441,4206,4509,4428,4346,4580,4561,4547,5182,4934,5284,4978,5079,4914
240,4172,4775,4351,4714,4534,4462,4528,4287,4629,4672,4667,4585,5150,5266,5270,5298,5357,5454
300,4570,4973,4476,4857,4693,4239,4564,4309,4825,4669,4417,4682,5209,5065,5224,5108,5180,5233
360,4465,4799,4517,4732,4741,4909,4443,4636,4672,4751,4658,4694,5386,5330,5032,5448,5292,5173
420,4699,5008,4377,4950,4844,4687,4690,4576,4549,4893,4777,4558,4892,5490,5366,5432,5502,5623
480,4798,4834,4834,5396,4625,4746,4785,4539,4497,4959,4911,4848,5464,5525,5338,5812,5643,5501
540,4878,4858,4585,5274,4894,4952,4503,4696,4767,5344,5223,4968,5321,5210,5387,5741,5822,5790
600,4777,5175,4908,5593,5103,4734,4901,4826,4811,5660,5194,5336,5462,5550,5358,5793,5606,5728
660,5128,5053,4596,5232,5118,5137,4861,4866,4713,5414,5198,5418,5413,5886,5655,5679,5961,5569
720,5074,5179,4748,5591,5023,5227,4927,4984,4876,5602,5232,5436,5862,5643,5591,6115,5943,5852
780,5225,5253,5089,5886,5446,5504,5155,4981,5165,5368,5542,5201,5831,5858,5678,6227,6045,5911
840,4961,5582,4964,6198,5517,5383,5177,4964,5078,5922,5581,5536,5882,5662,5557,6305,6210,6043
900,5278,5684,5179,5939,5395,5546,4941,5130,5096,5654,5832,5651,5931,6006,5517,6238,6254,5989
960,5164,5960,5027,6160,5465,5546,4968,5133,5021,5927,6295,5759,5845,6207,6035,6465,6212,5965
1020,5294,5782,5402,6444,5802,5616,5403,5261,5086,6035,6052,5762,5879,5994,6037,6942,6287,6212
1080,5202,5910,5583,6758,6282,5748,5411,5520,5426,6242,6287,6270,5900,6299,5952,6736,6287,6268
1140,5564,6027,5296,6872,6405,5801,5587,5460,5614,6044,6234,5769,6343,6230,5766,6732,6922,6339
1200,6042,6080,5568,6816,6493,6057,5333,5571,5563,6785,6438,6349,6250,6441,6224,6803,6943,6864
1260,5815,6062,5781,6555,6328,6033,5875,5555,5789,6455,6446,6180,6729,6348,6110,7527,6715,6796
1320,5847,6032,5831,6989,6521,6459,6086,5724,5750,6465,6257,6444,6502,6416,6304,7225,6972,6761
