,time,Trig inc N25-10µM_1,Trig inc N25-10µM_2,Trig inc N25-10µM_3,Trig inc N25-10µM(nn)_1,Trig inc N25-10µM(nn)_2,Trig inc N25-10µM(nn)_3,Trig inc N25-25µM_1,Trig inc N25-25µM_2,Trig inc N25-25µM_3,Trig inc N25-25µM(nn)_1,Trig inc N25-25µM(nn)_2,Trig inc N25-25µM(nn)_3,Trig inc N50-10µM_1,Trig inc N50-10µM_2,Trig inc N50-10µM_3,Trig inc N50-10µM(nn)_1,Trig inc N50-10µM(nn)_2,Trig inc N50-10µM(nn)_3,Trig inc N50-25µM_1,Trig inc N50-25µM_2,Trig inc N50-25µM_3,Trig inc N50-25µM(nn)_1,Trig inc N50-25µM(nn)_2,Trig inc N50-25µM(nn)_3,Rep inc N25-10µM_1,Rep inc N25-10µM_2,Rep inc N25-10µM_3,Rep inc N25-10µM(nn)_1,Rep inc N25-10µM(nn)_2,Rep inc N25-10µM(nn)_3,Rep inc N25-25µM_1,Rep inc N25-25µM_2,Rep inc N25-25µM_3,Rep inc N25-25µM(nn)_1,Rep inc N25-25µM(nn)_2,Rep inc N25-25µM(nn)_3,Rep inc N50-10µM_1,Rep inc N50-10µM_2,Rep inc N50-10µM_3,Rep inc N50-10µM(nn)_1,Rep inc N50-10µM(nn)_2,Rep inc N50-10µM(nn)_3,Rep inc N50-25µM_1,Rep inc N50-25µM_2,Rep inc N50-25µM_3,Rep inc N50-25µM(nn)_1,Rep inc N50-25µM(nn)_2,Rep inc N50-25µM(nn)_3
0,0,4082,4155,4346,4757,4953,4935,4239,3751,3928,4017,4396,4146,4135,3977,3893,4137,4048,4143,3877,3985,3905,4083,3839,3967,4199,4048,4182,4473,4453,4678,4048,3821,4115,4374,4369,4244,3611,4021,3845,4307,4177,3958,4003,4082,3703,3985,3974,3896
1,60,4135,4182,3914,4647,4917,4610,4221,4043,3943,3861,4092,3964,3902,3676,3907,4251,3879,4024,3904,3860,3772,3976,4116,3982,4278,4048,4308,4876,4489,4702,3884,3888,4048,4321,4716,4403,3928,3983,3821,3974,4182,4282,3730,3768,3659,4039,4128,3959
2,120,4425,4317,4328,4793,4751,4613,4108,3969,3969,4363,4243,4454,3789,3946,3958,3982,4124,3900,3799,3778,3825,4069,4036,3803,4118,4360,4099,5090,4870,5016,4184,3866,3909,4624,4399,4453,3735,3898,3789,3935,4224,4046,4036,3812,3767,3861,4047,3771
3,180,4551,4438,4260,4943,4907,5043,4169,3866,4046,4134,4468,4366,4013,3869,3797,3978,3783,3970,3843,3679,3965,3972,3962,3984,4348,4244,4240,5073,5083,5062,3753,4052,3918,4833,4669,4708,3666,3968,4006,4268,4186,4346,3709,3917,3833,3910,3878,4064
4,240,4525,4520,4194,5044,5356,5261,4324,4068,3950,4285,4314,4148,3991,4132,3660,4163,4022,3893,4104,3933,3820,3926,3774,3997,4560,4430,4226,5147,5327,5398,3968,3821,4183,4837,4622,4515,3914,4086,3908,4354,4226,4404,3957,3859,3973,3884,4022,4005
5,300,4415,4388,4440,5132,5402,5406,4006,4085,4060,4320,4193,4348,3941,3938,4011,4085,3802,3909,3901,4137,3856,4158,3922,3895,3903,4214,4320,5545,5084,5557,4152,4332,4381,4762,4682,4528,3913,4034,4165,4289,4257,4123,3812,3797,4050,4143,4228,4184
6,360,4696,4479,4391,5364,5644,5368,4297,4212,4169,4411,4646,4422,3887,4173,3953,3983,4146,4007,4008,3784,3933,3975,3975,4054,4297,3971,4447,6059,5274,5744,3897,3965,4198,5129,5189,4778,3781,3771,3872,4508,4278,4201,3851,3640,3817,4227,3982,4168
7,420,4778,4616,4595,5675,6064,5337,4365,4148,4048,4499,4373,4418,3998,3958,4272,3995,3826,4016,3771,3967,3915,3712,3964,3663,4481,4539,4404,6054,6108,5771,4201,4249,4015,4926,5104,4648,3746,4004,3783,4542,4474,4420,4054,3788,4064,4182,4034,4032
8,480,4396,4280,4579,6056,5930,5937,4195,4244,4073,4374,4672,4671,3842,3857,4038,4189,4120,3916,3853,3921,3701,4054,3937,3743,4350,4292,4696,5916,6220,6288,4098,4043,4211,5076,5257,5047,3945,4093,3999,4235,4648,4637,3892,3940,3899,3986,3995,4191
9,540,4718,4588,4711,5662,5987,6065,4248,4069,4114,4732,4664,4567,3921,4189,4086,4073,4085,4068,3944,4115,4081,4036,3898,4127,4627,4500,4572,5961,5926,6445,4120,4167,4198,5098,5378,4824,4079,4102,4073,4461,4448,4382,4065,3874,3950,4117,4008,4244
10,600,4517,4679,4663,6308,6218,6123,4240,4057,3892,4846,4998,4751,4033,4005,3962,4352,4150,4009,3950,4095,4144,3899,4103,3533,4661,4605,4926,6358,6299,6322,4180,4331,4068,5323,5473,5440,4170,4028,3809,4568,4583,4807,4007,3772,4008,4101,4176,4078
11,660,4775,4866,4595,6343,6418,6332,4435,4299,4215,4825,4958,4827,4032,4040,3956,4284,4370,4126,3931,3903,3999,4134,3938,3848,4359,4582,4547,6354,7133,6622,4062,4293,4257,5536,5485,5116,4133,4226,3629,4569,4562,4871,3770,3997,4011,4145,3981,4290
12,720,4972,4821,4965,6834,6458,6703,4310,4059,4049,4958,5139,4771,4171,3994,3932,4257,4232,4124,3877,4020,4067,4139,4127,3883,4670,4728,4492,6760,6430,6659,4157,4317,4414,5318,5522,5137,4151,3990,3977,4625,4543,4590,4057,3971,4130,4197,3962,4303
13,780,4871,4753,4710,6787,6641,7200,4234,4318,4234,5263,4970,5168,4376,3999,3919,4339,4354,4419,3596,3985,4051,4120,4142,3895,4649,4912,4476,6981,6937,6912,4414,4285,4392,5803,5827,5464,4225,4155,4085,4827,4767,4447,3813,3851,4113,4263,4427,4101
14,840,5002,5039,4863,6985,7314,7334,4188,4163,4545,5190,5070,5198,4147,4182,4077,4421,4713,4172,3948,3912,4002,3991,4082,3818,4643,4870,4738,7177,6932,7261,4255,4452,4447,5922,6270,5377,4193,4061,4010,4791,4975,4622,3905,3902,4121,4187,4215,4377
15,900,5157,5182,4845,7203,7371,7574,4559,4475,4216,5307,5354,5487,3844,4016,4062,4280,4096,3970,4237,4136,3890,3759,3986,3973,4958,5062,5067,7348,7076,7209,4384,3959,4337,6008,5924,5662,4198,3923,4155,4968,4706,4980,3855,4081,3914,4115,4229,4213
16,960,5037,5093,5114,7553,7417,7615,4544,4246,4098,5592,5398,5322,3933,4098,3975,4721,4315,4331,3849,4052,4004,3924,3734,3997,4871,5179,4822,7629,7412,7633,4483,4619,4321,6027,6242,5943,4310,4266,4229,4761,4896,4671,3706,4104,4003,4261,4251,4286
17,1020,5607,5295,5136,7776,8020,7705,4382,4763,4167,5329,5740,5346,4303,4146,4034,4573,4480,4172,3859,4103,3975,4121,3982,3860,4965,5009,4916,7750,7643,7503,4119,4990,4249,6248,6055,6046,4345,4026,3968,4958,4859,4821,3799,3869,3977,4132,4414,4226
18,1080,5387,5483,5292,7588,7798,7968,4659,4521,4392,5427,5391,5393,4152,4129,4077,4410,4409,4281,3919,4312,4005,4179,4208,4095,5238,5273,5415,7924,7990,7972,4548,4266,4227,6323,6276,6415,4248,4223,4063,4988,4899,4991,3925,3916,4131,4405,4274,4216
19,1140,5493,5671,5441,8208,8210,8254,4491,4354,4500,6015,5857,5686,4266,4212,4178,4548,4499,4606,4039,3891,3914,4112,4204,3919,5220,5019,5329,8181,7714,7665,4902,4280,4680,6281,6479,6337,4066,4166,4102,5234,5037,5356,3914,4090,3929,4374,4322,4562
20,1200,5502,5666,5556,8228,8699,8569,4449,4593,4449,5869,5913,5750,4198,4200,3973,4691,4458,4617,4030,4236,4097,4034,4011,4002,5276,5045,5327,8074,7534,7925,4487,4446,4614,6486,6488,6074,4203,4031,3993,5028,5413,4901,3925,4044,4087,4296,4168,4455
21,1260,5702,5309,5818,8587,8572,8549,4898,4570,4630,5785,5562,5750,3914,4031,4246,4719,4728,4563,3813,4126,3959,4015,4096,4076,5469,5289,5205,8088,7943,8228,4591,4760,4518,6659,6622,6287,4114,4212,3940,5353,5168,5335,3968,4076,4193,4363,4474,4331
22,1320,5639,5555,5807,8785,8857,9002,4491,4322,4639,5882,6053,5994,4119,4135,4197,4541,4496,4704,4022,4060,3928,4020,3981,4120,5435,5383,5332,8328,8242,8181,4540,4689,4624,6800,6927,6350,4026,4304,4052,5303,5153,5502,4158,3771,3885,4390,4366,4436
23,1380,5903,5782,5753,8681,9325,9358,4927,4684,4693,6256,6043,5934,4184,4241,4169,4742,4545,4601,4201,4154,4244,4251,4230,4073,5288,5579,5223,9010,8466,8667,4655,4648,4437,6867,7168,6421,4297,4292,4394,5415,5205,5403,3972,3928,4272,4245,4363,4430
