,Time,"T° triggered:563,592",H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13
0,0:00:00,25.1,757,6758,956,1678,202,8940,294,2842,206,9559,296,3370,745,6858,954,1670,212,8806,290,2852,205,9445,323,3547,778,6921,929,1644,209,8551,307,2849,192,9120,293,3585
1,0:00:45,25.1,767,7189,947,1751,225,8943,324,3030,217,9487,290,3845,744,7336,976,1738,225,8944,278,2982,218,9624,294,3786,766,7346,944,1742,219,8726,293,3058,196,9260,310,3921
2,0:01:30,25.1,748,7468,966,1761,206,8992,301,3159,225,9592,314,3989,746,7636,941,1814,208,8997,306,3288,225,9652,298,4087,755,7538,973,1822,233,8715,302,3262,237,9338,287,4111
3,0:02:15,25.1,744,7801,957,1864,213,8908,289,3403,211,9658,310,4238,773,7673,931,1824,211,9025,287,3415,206,9689,312,4332,789,7843,959,1840,221,8689,287,3423,199,9222,314,4383
4,0:03:00,25.1,752,7811,975,1874,212,8967,307,3444,201,9714,283,4485,776,7988,997,1909,231,9088,315,3660,199,9621,321,4578,761,7717,918,1861,216,8712,299,3659,204,9233,304,4487
5,0:03:45,25.1,763,7867,1019,1894,201,8951,294,3665,217,9861,314,4574,762,7921,978,1911,210,8939,310,3799,198,9678,304,4639,811,7800,975,1881,205,8822,307,3631,209,9339,311,4655
6,0:04:30,25.1,839,7870,1014,1970,206,8882,307,3765,213,9702,310,4684,747,8042,989,2004,227,9043,295,3894,199,9813,300,4686,760,7912,954,1902,219,8716,279,3797,226,9367,303,4837
7,0:05:15,25,773,7918,965,2045,235,9039,321,3880,195,9726,305,4872,750,7980,982,1978,226,9011,293,3997,199,9553,292,4912,739,7840,909,1993,217,8830,285,3849,211,9344,285,4962
8,0:06:00,25.1,772,8051,963,2045,218,9016,300,4034,204,9766,309,5090,751,7961,951,1989,220,9147,329,4051,193,9569,320,4958,722,7953,995,1987,215,8793,318,3922,191,9318,310,4975
9,0:06:45,25.1,801,8019,973,2047,212,8911,302,4108,208,9787,308,5152,799,7916,930,2062,229,9093,311,4227,213,9842,309,5115,734,8106,939,2015,214,8822,309,4099,207,9400,304,5154
10,0:07:30,25.1,740,7937,1011,2068,202,9023,311,4108,199,9707,281,5259,737,7967,1035,2095,207,9009,284,4216,236,9676,322,5271,792,7966,961,2095,218,8747,295,4183,218,9409,305,5228
11,0:08:15,25.1,759,7999,962,2088,229,9132,331,4225,198,9769,302,5422,777,7957,992,2140,224,9117,306,4241,222,9594,274,5373,824,7966,988,2122,219,8752,275,4231,213,9425,326,5305
12,0:09:00,25.1,807,7970,1001,2103,195,9126,337,4370,222,9590,323,5384,777,8024,995,2068,219,8988,286,4355,221,9656,293,5353,785,8061,956,2127,206,8593,311,4253,209,9449,330,5446
13,0:09:45,25.1,807,7940,975,2096,219,8954,307,4363,198,9747,296,5519,793,8181,1002,2176,198,8943,304,4482,212,9569,303,5514,756,8130,1013,2178,207,8748,288,4308,214,9377,301,5449
14,0:10:30,25.1,773,7972,1028,2218,229,9122,302,4474,213,9626,300,5510,819,7973,993,2134,191,9123,298,4623,193,9794,305,5501,775,8056,945,2148,216,8799,276,4487,219,9425,326,5555
15,0:11:15,25.1,791,7998,966,2236,219,9075,316,4506,196,9568,301,5633,813,8067,994,2215,223,8986,298,4626,208,9685,321,5575,785,8009,964,2186,225,8751,315,4467,207,9298,333,5704
16,0:12:00,25.1,785,8001,998,2238,206,8945,310,4689,205,9644,309,5781,776,8119,961,2213,200,8924,326,4665,222,9716,301,5729,762,7985,961,2167,222,8730,289,4510,218,9402,274,5812
17,0:12:45,25.1,776,8048,1012,2306,209,9072,325,4505,202,9743,322,5757,767,8106,1000,2229,228,9000,305,4667,218,9615,307,5793,787,8032,940,2151,228,8684,291,4710,193,9479,313,5659
18,0:13:30,25.1,763,8171,976,2252,217,8929,320,4647,205,9600,309,5803,773,8096,982,2222,220,8980,308,4803,212,9610,309,5779,783,8105,1030,2250,199,8865,273,4671,188,9501,314,5809
19,0:14:15,25.1,720,8021,961,2244,228,8973,301,4720,191,9649,278,5923,760,8209,979,2281,238,8997,311,4642,214,9897,326,5874,763,8141,1025,2286,209,8720,303,4627,211,9583,313,5866
20,0:15:00,25.1,764,7991,1036,2346,222,9195,315,4726,228,9578,306,6017,754,7981,1018,2264,229,9137,290,4809,196,9647,310,5886,729,8170,1002,2211,247,8612,305,4722,204,9562,349,5917
21,0:15:45,25.1,781,8164,1008,2330,225,9091,328,4839,222,9902,313,6022,743,8156,1009,2328,223,8983,310,5023,204,9498,317,6001,757,8136,997,2331,210,8779,306,4740,224,9342,299,5963
22,0:16:30,25.1,781,7987,993,2313,226,9106,353,4629,209,9589,308,6067,752,8235,992,2389,207,8965,308,4839,176,9733,314,5957,748,8049,1032,2216,212,8866,327,4873,224,9459,303,6059
23,0:17:15,25.1,770,8046,1026,2387,232,9029,305,5054,216,9658,307,6084,780,8099,1026,2418,215,9075,310,4949,210,9725,330,6098,757,8202,1004,2302,217,8844,311,4905,224,9552,338,6179
24,0:18:00,25.1,776,8009,1002,2424,212,9203,325,4886,198,9655,304,6144,778,8119,985,2432,209,9055,306,5012,208,9624,331,6138,792,8058,975,2381,233,8839,315,4913,224,9404,312,6208
25,0:18:45,25.1,762,8240,985,2395,243,9112,314,4908,223,9908,322,6223,784,8308,1031,2360,232,9082,305,5075,199,9751,315,6277,783,8167,980,2454,207,8841,302,4995,211,9471,310,6224
26,0:19:30,25.1,781,8050,995,2409,213,9034,306,5096,211,9781,316,6149,768,8195,984,2468,252,9189,332,5166,223,9780,337,6293,765,8123,981,2385,215,8912,305,4956,213,9473,340,6239
27,0:20:15,25.1,786,8048,1013,2448,238,8917,328,5119,214,9841,313,6289,774,8214,967,2502,214,9017,305,5260,211,9750,282,6354,791,8032,995,2374,223,8980,297,5074,215,9446,297,6212
28,0:21:00,25.1,806,8130,1026,2442,208,8993,331,5093,214,9770,298,6400,791,8098,1012,2408,214,9103,286,5224,223,9826,335,6314,777,8281,1004,2471,217,8716,297,5150,212,9424,314,6246
29,0:21:45,25.1,758,8059,1022,2517,249,8903,307,5066,214,9705,314,6328,797,8185,1039,2468,215,9053,301,5138,233,9676,305,6363,784,8165,967,2463,221,8890,303,5124,219,9421,320,6357
30,0:22:30,25.1,805,8194,1029,2568,206,9108,288,5230,218,9803,334,6411,806,8122,995,2537,217,8998,309,5351,187,9876,284,6356,767,8080,1019,2479,218,8866,306,5092,215,9467,336,6367
31,0:23:15,25.1,795,8013,1024,2458,214,9043,304,5125,198,9622,294,6458,761,8151,1044,2507,215,9097,295,5259,231,9650,331,6448,739,8099,956,2562,226,8769,300,5107,228,9294,301,6393
32,0:24:00,25.1,817,8066,1024,2534,232,9022,315,5185,216,9675,315,6611,785,8140,999,2585,215,9081,320,5416,216,9803,322,6508,749,8070,1004,2537,200,8831,295,5197,226,9457,337,6433
33,0:24:45,25.1,775,8106,1040,2521,219,9052,314,5351,217,9707,337,6370,792,8209,970,2472,232,8989,340,5309,216,9719,315,6528,801,8058,1035,2518,232,8821,325,5237,209,9468,298,6469
34,0:25:30,25.1,780,8187,1057,2661,217,9103,312,5263,208,9528,332,6470,805,8017,994,2503,220,9067,303,5414,192,9640,309,6506,813,8092,986,2555,214,8831,328,5293,216,9412,315,6505
35,0:26:15,25.1,790,8079,1035,2605,219,9043,324,5322,221,9804,314,6579,804,8183,1001,2550,228,9033,314,5313,224,9607,328,6614,786,8085,1002,2542,242,8719,302,5394,182,9519,330,6522
36,0:27:00,25.1,779,8097,1010,2566,243,9006,329,5240,213,9708,309,6530,766,8176,986,2572,223,9052,304,5411,206,9723,325,6676,754,8035,1040,2587,218,8787,280,5318,226,9450,313,6602
