,Time,"T° ATTO565_120gain:563,592",H2,H3,H4,H5,H6,I2,I3,I4,I5,I6,J2,J3,J4,J5,J6
0,0:00:00,25,52,103,195,169,300,47,151,150,184,320,91,114,164,184,313
1,0:00:30,25.1,70,145,159,218,288,86,144,170,160,320,53,151,166,208,256
2,0:01:00,25,77,161,219,212,342,55,170,217,215,390,54,153,185,183,331
3,0:01:30,25.1,80,142,200,217,381,80,193,170,208,363,81,172,188,232,412
4,0:02:00,25,61,160,219,236,384,57,150,179,235,450,74,178,200,242,412
5,0:02:30,25.1,64,175,222,251,364,67,162,229,264,481,69,150,210,195,393
6,0:03:00,25,95,127,233,226,412,70,183,184,279,479,68,208,257,251,425
7,0:03:30,25.1,70,173,274,257,517,63,165,266,246,441,69,192,268,242,420
8,0:04:00,25,86,169,277,274,506,88,197,214,304,476,75,180,244,275,500
9,0:04:30,25.1,82,197,238,340,496,67,231,223,259,491,54,184,254,258,457
10,0:05:00,25,89,203,268,282,481,72,204,233,268,513,63,209,223,294,528
11,0:05:30,25,64,162,278,262,520,88,175,267,281,518,51,199,239,285,473
12,0:06:00,25.1,84,194,312,289,515,71,244,229,326,544,73,216,302,285,523
13,0:06:30,25,81,228,222,318,512,77,164,240,347,544,55,242,265,322,551
14,0:07:00,25.1,71,186,273,316,575,59,222,236,336,511,68,205,261,334,487
15,0:07:30,25,90,235,229,308,529,76,191,264,301,577,63,230,248,283,523
16,0:08:00,25.1,63,193,303,349,571,81,213,303,319,552,59,236,298,360,524
17,0:08:30,25,77,214,329,348,565,74,164,228,315,598,80,228,276,306,557
18,0:09:00,25.1,64,225,271,357,641,78,243,270,375,557,66,206,273,291,569
19,0:09:30,25,81,193,288,368,578,107,235,280,393,574,67,261,339,300,591
20,0:10:00,25.1,63,226,288,407,580,79,225,348,337,603,70,257,325,358,587
21,0:10:30,25,69,239,266,377,645,59,286,310,374,610,80,199,306,369,583
22,0:11:00,25.1,77,224,300,363,592,63,226,292,367,524,74,260,289,328,614
23,0:11:30,25,71,241,286,366,585,73,206,314,325,629,64,247,318,378,580
24,0:12:00,25,53,209,296,390,569,72,224,289,411,641,69,219,303,387,650
25,0:12:30,25,69,253,325,429,588,63,241,296,387,584,66,244,316,384,672
26,0:13:00,25,71,242,294,367,552,54,259,347,400,651,84,230,277,360,632
27,0:13:30,25.1,75,261,333,407,627,79,263,296,385,630,75,218,301,375,663
28,0:14:00,25,85,230,332,338,670,54,243,311,382,636,65,216,298,386,638
29,0:14:30,25.1,72,268,332,388,622,64,267,314,383,650,73,279,336,403,633
30,0:15:00,25,90,231,309,386,608,69,228,317,365,623,44,221,326,384,635
31,0:15:30,25.1,77,250,358,367,599,70,246,353,391,643,77,251,345,458,638
