,Time,"T° ATTO565_120gain:563,592",B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
0,0:00:00,25.2,98,255,113,192,181,196,180,174,208,272,125,159,137,201,215,202,206,201,202,223,143,202,183,161,188,194,216,206,260,252,144,177,393,453,482,509,619,845,959,1467,157,185,291,464,507,547,668,727,1088,1452,175,201,280,476,488,525,603,736,1087,1431
1,0:00:45,25.2,122,277,152,152,184,208,196,216,214,306,138,181,172,158,212,179,210,219,249,268,136,177,201,214,202,194,225,225,213,347,170,256,437,540,536,661,681,959,1095,1561,172,213,385,549,646,614,722,886,1170,1546,153,202,399,473,544,651,704,895,1234,1516
2,0:01:30,25.2,124,261,145,166,176,154,227,205,246,330,141,152,137,190,219,180,193,247,262,319,145,138,174,172,177,254,214,224,254,304,154,237,475,540,638,691,857,1006,1293,1713,147,233,384,558,632,725,798,917,1390,1631,137,214,315,493,603,723,782,902,1207,1728
3,0:02:15,25.2,138,267,151,159,225,209,199,215,275,363,135,156,180,190,194,219,199,270,277,321,141,148,179,214,188,229,259,267,306,330,147,239,513,575,625,680,893,1179,1329,1803,166,196,422,613,699,766,832,1076,1601,1722,171,217,372,614,632,722,848,1006,1396,1748
4,0:03:00,25.2,109,267,202,173,209,253,235,226,257,384,136,141,152,212,217,260,233,256,258,362,122,181,147,177,175,179,252,242,313,415,160,266,554,629,718,772,1010,1258,1456,1904,175,225,435,634,721,860,883,1120,1484,1798,158,245,438,605,688,802,927,1012,1483,1858
5,0:03:45,25.2,123,242,134,190,172,226,215,252,230,383,163,172,173,170,202,171,237,261,295,377,119,175,194,180,203,209,234,234,286,367,162,241,570,657,737,747,1043,1228,1502,1862,170,265,438,652,772,780,1028,1151,1508,1782,164,256,437,631,744,853,969,1120,1568,1870
6,0:04:30,25.2,105,258,156,172,209,254,226,235,281,426,144,209,160,183,250,249,213,279,278,382,128,163,197,198,201,207,256,267,276,449,189,253,570,688,727,826,1158,1350,1527,1990,162,234,495,697,839,882,966,1258,1641,1942,131,243,448,654,822,876,936,1149,1545,1872
7,0:05:15,25.2,129,288,197,202,238,231,245,266,309,435,152,173,186,209,233,242,244,263,363,409,150,172,182,189,202,201,300,256,343,440,141,242,559,772,715,789,1130,1375,1643,2030,155,307,477,717,857,916,1099,1250,1576,1954,143,229,488,660,758,919,1044,1234,1600,1751
8,0:06:00,25.2,125,277,183,155,210,288,267,289,311,443,145,161,163,210,264,213,259,290,306,442,115,197,205,190,235,254,282,292,352,454,176,284,567,731,872,780,1078,1400,1764,1908,159,267,465,756,812,997,1174,1409,1689,2024,134,242,522,731,814,975,968,1271,1693,1904
9,0:06:45,25.2,145,290,177,177,219,228,298,291,317,456,130,144,164,217,245,258,260,283,339,422,157,155,168,173,220,215,251,293,368,484,165,246,609,750,830,949,1134,1563,1780,2058,164,234,459,785,936,953,1120,1418,1824,2038,123,248,466,763,921,1036,1035,1318,1719,1959
10,0:07:30,25.2,102,285,159,178,224,265,258,278,322,463,131,160,192,189,255,234,276,325,352,446,147,171,201,235,238,247,251,284,291,506,170,271,589,768,851,921,1185,1513,1757,2030,161,284,584,793,899,1060,1172,1444,1760,1946,139,253,537,651,945,984,1069,1387,1798,1922
11,0:08:15,25.2,149,283,170,202,215,258,278,291,388,532,117,175,199,178,270,248,277,311,407,514,161,180,193,230,233,231,266,308,376,511,132,256,562,733,867,997,1202,1561,1776,2014,163,271,625,809,942,1065,1260,1423,1722,2008,163,231,602,730,947,1058,1214,1341,1807,2017
12,0:09:00,25.2,113,303,193,244,252,262,263,319,336,540,134,161,208,221,275,252,295,347,385,520,126,171,200,191,229,277,272,322,392,505,177,284,597,883,867,1080,1271,1562,1806,2126,130,257,523,825,985,1124,1220,1385,1828,2042,185,305,583,807,991,1070,1156,1511,1721,1975
13,0:09:45,25.2,128,257,186,207,216,286,327,279,368,559,142,138,198,223,275,261,260,348,353,535,144,179,236,212,230,237,284,307,348,521,166,291,653,845,919,1043,1207,1735,1833,1979,167,252,545,842,1037,1084,1263,1588,1879,2180,155,258,560,768,963,1035,1199,1464,1869,1937
14,0:10:30,25.2,143,263,161,232,246,288,291,331,354,446,148,184,197,208,260,227,257,347,405,551,131,174,210,228,217,243,291,330,340,530,144,301,673,789,933,1057,1265,1663,1795,2125,175,286,594,898,1073,1188,1235,1602,1866,2080,169,273,606,812,966,1058,1262,1547,1843,2008
