,Time,"T° triggered:563,592",B2,B3,C2,C3,D2,D3,E2,E3,F2,F3,G2,G3
0,0:00:00,25,754,846,806,838,775,812,265,292,269,303,275,321
1,0:00:45,25,786,810,762,817,760,850,246,304,268,298,250,343
2,0:01:30,25,787,887,767,812,792,848,257,298,292,318,252,299
3,0:02:15,25,811,838,791,844,812,874,264,308,264,285,261,305
4,0:03:00,25,798,844,781,853,762,826,287,304,271,296,281,319
5,0:03:45,25,780,829,818,867,791,851,282,326,258,315,278,323
6,0:04:30,25,807,874,814,847,795,850,267,331,268,321,272,321
7,0:05:15,25,798,870,802,850,814,883,284,289,291,314,264,294
8,0:06:00,25,791,858,790,856,777,858,275,305,270,309,261,320
9,0:06:45,25,822,864,813,864,773,834,280,326,283,319,258,333
10,0:07:30,25.1,752,887,791,830,778,855,249,306,271,300,266,319
11,0:08:15,25,760,862,820,841,808,805,280,318,280,302,276,342
12,0:09:00,25,790,871,795,887,809,906,275,321,276,298,276,322
13,0:09:45,25,827,874,770,877,812,850,264,303,269,308,279,333
14,0:10:30,25,798,908,863,880,781,857,275,314,278,362,275,330
15,0:11:15,25,840,890,790,806,806,818,270,336,278,341,276,302
16,0:12:00,25.1,758,814,809,877,786,863,274,335,265,336,279,352
17,0:12:45,25.1,796,844,827,855,815,828,258,336,291,332,287,338
18,0:13:30,25.1,799,897,782,873,807,791,275,339,266,290,265,332
19,0:14:15,25.1,786,864,769,877,788,888,287,321,282,303,280,334
20,0:15:00,25.1,764,845,844,874,809,908,268,344,267,326,271,321
21,0:15:45,25,764,856,804,895,821,856,270,310,289,308,289,343
22,0:16:30,25.1,786,859,818,863,795,829,262,325,279,345,275,357
23,0:17:15,25.1,796,820,808,857,819,883,291,356,250,320,296,338
24,0:18:00,25.1,780,888,782,851,813,869,302,347,259,305,267,362
25,0:18:45,25.1,829,840,776,871,793,864,289,341,285,330,301,335
26,0:19:30,25.1,796,889,765,829,819,823,280,321,281,347,253,335
27,0:20:15,25.1,788,831,810,853,767,838,279,314,274,357,258,340
28,0:21:00,25.1,831,874,846,895,741,854,276,333,288,329,299,358
29,0:21:45,25.1,808,845,814,848,819,875,283,332,279,314,268,331
30,0:22:30,25.1,851,870,834,884,791,851,282,327,293,332,269,312
31,0:23:15,25.1,814,851,799,850,762,889,270,348,254,355,289,310
32,0:24:00,25.1,770,876,801,819,788,853,261,349,293,310,253,321
33,0:24:45,25.1,867,865,818,893,800,852,274,324,284,338,294,347
34,0:25:30,25.1,803,894,880,856,814,872,271,332,277,330,274,337
35,0:26:15,25.1,825,849,818,854,791,877,269,335,263,330,271,312
36,0:27:00,25.1,808,840,817,905,818,825,262,323,294,357,282,340
37,0:27:45,25.1,804,867,818,875,795,843,279,362,281,346,288,362
38,0:28:30,25.1,826,888,799,835,796,858,261,308,289,328,284,332
39,0:29:15,25.1,802,873,798,843,835,889,282,344,295,332,272,326
40,0:30:00,25.1,798,836,834,859,759,882,260,329,301,292,275,336
41,0:30:45,25.1,822,863,837,879,740,875,277,318,286,322,269,332
42,0:31:30,25.1,766,868,835,917,801,852,290,331,282,318,271,339
43,0:32:15,25.1,802,910,849,873,823,880,287,325,270,348,286,335
44,0:33:00,25.1,770,865,812,875,786,869,246,324,274,341,293,329
45,0:33:45,25.1,779,858,774,861,799,877,293,330,299,302,266,336
46,0:34:30,25.1,803,840,806,836,789,892,280,331,272,328,292,343
47,0:35:15,25.1,793,850,772,880,810,832,274,378,281,331,270,337
48,0:36:00,25.1,797,864,823,857,769,857,276,329,302,344,268,318
49,0:36:45,25.1,816,875,826,887,802,825,267,337,301,338,280,335
50,0:37:30,25.1,736,871,816,841,819,814,279,340,276,318,263,330
51,0:38:15,25.1,816,878,805,839,798,832,277,312,258,331,283,325
52,0:39:00,25.1,791,858,823,846,770,866,295,321,269,329,285,323
53,0:39:45,25.1,769,872,825,876,759,885,290,316,245,345,276,326
54,0:40:30,25.1,749,830,801,869,753,900,281,345,286,308,299,326
55,0:41:15,25.1,765,874,783,850,803,931,281,311,275,340,290,339
56,0:42:00,25.1,841,876,789,854,850,874,281,314,281,318,270,321
57,0:42:45,25.1,828,877,806,865,745,830,270,356,280,341,263,317
58,0:43:30,25.1,811,881,817,923,799,891,299,349,278,324,272,311
59,0:44:15,25.1,759,873,794,883,802,866,267,335,263,318,291,343
60,0:45:00,25.1,808,910,821,889,818,916,282,315,281,357,295,323
61,0:45:45,25.1,800,878,793,865,780,916,291,328,281,324,268,317
62,0:46:30,25.1,809,850,834,871,843,889,257,332,290,322,284,337
63,0:47:15,25.1,773,876,784,878,734,900,291,333,273,306,280,355
64,0:48:00,25.1,793,837,808,856,795,841,276,355,279,343,301,334
