,time,N25-10µM_1,N25-10µM_2,N25-10µM_3,N25-10µM(nn)_1,N25-10µM(nn)_2,N25-10µM(nn)_3,N25-25µM_1,N25-25µM_2,N25-25µM_3,N25-25µM(nn)_1,N25-25µM(nn)_2,N25-25µM(nn)_3,N50-10µM_1,N50-10µM_2,N50-10µM_3,N50-10µM(nn)_1,N50-10µM(nn)_2,N50-10µM(nn)_3,N50-25µM_1,N50-25µM_2,N50-25µM_3,N50-25µM(nn)_1,N50-25µM(nn)_2,N50-25µM(nn)_3,RNA N183 5µM_1,RNA N183 5µM_2,RNA N183 5µM_3,RNA N183 5µM(nn)_1,RNA N183 5µM(nn)_2,RNA N183 5µM(nn)_3
0,0,4026,4027,4556,3856,3931,3695,3927,3936,4447,3982,3787,4108,4023,4154,4309,4168,3821,3929,4054,3948,3927,4138,4200,3982,4008,4186,3947,4041,4200,3881
1,60,4127,4210,4647,3897,3665,3883,3915,4258,4083,4031,3872,3927,4124,4084,4405,3824,3975,3906,3907,3867,3953,4145,4238,4297,4159,4090,3856,3818,4090,4052
2,120,3869,4248,4735,3947,3905,3959,3967,3905,4072,3749,3835,3988,4041,4319,4194,3782,3702,4006,3950,3852,4132,4068,4065,3857,4108,4084,3972,4079,4150,3942
3,180,4051,4027,4745,4003,3814,4002,3908,4135,4194,4004,3832,3877,3839,4076,4225,3723,3772,3889,3900,3734,4010,4149,3814,3982,4318,4125,3971,4139,4188,3917
4,240,3969,4333,4739,3950,3992,4108,4171,4129,4147,3889,4237,4235,3966,4306,4198,3741,3937,3931,3986,4002,3674,3884,3903,3690,3962,4156,3792,3964,4110,3949
5,300,4131,3946,4883,4016,4249,4209,3964,4194,4431,4010,4089,3872,3927,4025,4088,3930,3859,4004,3919,3946,3801,4198,3976,3934,4072,4058,4005,3955,4110,3928
6,360,3791,4422,4724,4208,4062,4019,4104,4250,4290,4069,4150,4103,3780,4012,4267,3971,4000,4027,4016,3659,4228,4043,4067,3933,4087,4020,4171,3901,4002,3971
7,420,4291,4144,4818,4131,4408,4407,3826,4217,4542,4252,4186,3953,4128,4240,4406,3968,3875,4145,4191,3759,3936,3999,4035,4083,4187,4106,3858,4167,4171,4249
8,480,3797,4286,4615,4481,4594,4329,4046,4126,4078,4284,4272,4136,3958,4097,4390,4157,3971,4278,3836,3832,4215,4163,3946,4029,4275,4014,3830,4158,4366,3993
9,540,4146,4220,4699,4581,4635,4489,4177,4154,4601,4118,4025,4472,4272,3984,4240,4054,3974,4181,3736,3969,4149,4065,3900,3862,4124,4140,4018,4182,3902,4120
10,600,3801,3964,5078,4811,4437,4551,3924,4238,4452,4434,4162,4228,4248,4211,4451,4047,3809,4154,4112,3726,4024,4022,3811,3989,3993,3888,3836,4196,4093,4447
11,660,4127,4446,4778,4846,4546,4577,3978,4258,4213,4467,4243,4507,4088,4107,4140,3914,4002,3944,3886,3829,4227,4133,4015,4297,4090,4017,4001,4324,4081,4472
12,720,4304,4302,4871,4901,4898,4764,4029,4158,4442,4432,4322,4678,3910,4186,4294,3917,4115,4298,4351,3952,4197,4009,3910,4330,4086,4330,4066,4265,4358,4547
13,780,4205,4273,4825,4900,4827,4742,4084,4318,4325,4319,4345,4810,3985,4171,4385,4122,4091,4072,3954,3850,4049,4060,4298,4168,4027,4006,4078,4151,4593,4504
14,840,4223,4447,4713,5148,4901,5045,4150,4324,4500,4442,4491,4666,3948,4312,4243,4132,4068,4384,4007,3678,3921,4332,4194,4202,3956,4033,4030,4372,4730,4417
15,900,4425,4686,5207,5174,5127,4926,4024,4306,4307,4687,4679,4697,3796,4199,4438,4259,4134,4138,3750,3852,4124,4103,4161,3981,4224,4298,4092,4451,4321,4653
16,960,4274,4477,5332,5307,5160,5190,4007,4407,4501,4646,4574,4750,4143,4011,4268,4376,4258,4100,3844,4006,3978,4072,4167,4097,4102,4166,3909,4681,4925,4508
17,1020,4270,4487,4887,5164,5248,5454,4348,4244,4333,4506,4425,5038,4034,4113,4487,4528,4281,4415,3828,3940,3761,4257,4020,4064,4359,4013,4112,4415,4940,4796
18,1080,4384,4365,5433,5360,5491,5609,4044,4097,4450,4949,4537,4901,4160,4089,4548,4564,3988,4141,4030,3931,4041,4149,3870,4234,4293,4085,4177,4589,4932,4594
19,1140,4641,4373,5143,5797,5326,5575,4226,4386,4382,4886,4602,4972,4130,4051,4411,4388,3986,4503,3729,4043,3814,4042,4121,4053,4142,4125,3990,4686,4734,4945
20,1200,4487,4654,4795,5878,5577,5633,4157,4337,4385,5055,4818,5176,4245,4355,4141,4235,4355,4463,3797,3786,4246,3945,3864,4036,4265,4439,3895,4579,4878,5048
21,1260,4560,4757,5185,5861,5992,5864,4292,4225,4503,4939,4596,5053,4092,4084,4366,4448,4201,4421,3923,3793,3757,3984,4134,4092,4505,4271,4059,4599,5054,4903
22,1320,4302,4834,5134,6124,5937,5874,3936,4420,4544,5283,5064,5156,4069,4456,4223,4246,4274,4585,3954,4135,3680,4061,4037,4196,4516,4070,4187,5060,4793,5114
23,1380,4565,4581,5313,6347,6223,5997,4294,4423,4320,5263,4799,4945,4238,4276,4630,4340,4227,4443,3620,3919,4007,4380,4057,4138,4351,4265,4278,5095,5028,5154
24,1440,4967,4770,5447,6175,6088,6147,4246,4562,4526,5187,5187,5284,4266,4405,4288,4647,4464,4372,3869,4031,4148,4051,4090,4186,4327,4267,4257,5006,5017,5162
25,1500,4563,4802,5313,6493,6182,6487,4313,4461,4492,5042,5024,5321,4395,4091,4490,4714,4634,4434,4180,4138,4066,4367,4220,4440,4323,4533,4161,4967,5111,5291
26,1560,4756,4995,5275,6491,6500,6300,4502,4390,4565,5374,5296,5287,4032,4300,4218,4494,4420,4524,3983,3729,3947,4469,3784,4332,4282,4354,4142,4741,5112,5333
27,1620,4716,4952,5257,6723,6807,6623,4251,4844,4596,5260,4988,5392,4025,4222,4415,4865,4951,4405,4245,4170,4192,4200,4345,4463,4304,4271,4266,5404,5330,5354
28,1680,4994,4864,5352,6626,6617,6488,4548,4365,4433,5680,5104,5680,4209,4301,4486,4634,4640,4412,3853,4076,4191,4108,4337,4258,4363,4326,4399,4856,5300,5287
29,1740,4747,4571,5706,6520,6606,6696,4166,4543,4581,5498,5357,5816,3852,4141,4219,4604,4751,4771,4081,3895,4310,4690,4183,4253,4426,4337,4626,4928,5288,5509
30,1800,4751,4963,5724,6644,6441,6552,4411,4350,4574,5405,5015,5833,4360,4608,4455,4591,4550,4593,3812,3925,3959,4457,4166,4156,4616,4505,4395,5435,5303,5291
31,1860,5089,5136,5309,6777,6886,7113,4467,4422,4707,5747,5447,5964,4210,4206,4577,4907,4760,4622,4095,3854,3952,4220,4349,4148,4736,4421,4026,5229,5785,5576
32,1920,5066,5131,5421,7062,6704,7010,4482,4471,4610,5854,5397,5863,4189,4292,4556,4867,4762,4783,3735,4067,3903,4407,4153,4516,4669,4569,4233,5251,5523,5481
33,1980,5086,4921,5784,7285,7218,7112,4574,4906,4789,5668,5409,6001,4105,4432,4595,4872,4820,4604,3988,4145,3961,4460,4182,4582,4552,4281,4484,5543,5796,5926
34,2040,5173,4930,5789,6722,7170,7451,4535,4843,4604,5728,5819,5801,3872,4285,4338,4724,4638,4713,3978,4147,4184,4299,4176,4303,4579,4456,4434,5354,5617,5761
35,2100,4922,5038,5875,7118,7367,7437,4391,4291,4652,6177,5688,5925,4067,4434,4453,4930,4802,4824,3966,3997,3913,4339,4218,4256,4813,4280,4289,5347,5796,5469
36,2160,4979,5018,6187,6927,7343,7410,4457,4571,5064,6105,5941,6240,4495,4158,4382,4916,4428,4848,4092,3934,4040,4422,4402,4226,4662,4588,4415,5174,5709,5732
37,2220,4910,5104,6202,7352,7159,7085,4442,4867,4726,6106,6288,6191,4171,4378,4410,4780,4357,4735,3988,3813,4184,4247,4272,4352,4769,4519,4470,5712,6001,5546
38,2280,5103,5289,6013,7597,7624,7310,4558,4404,4764,6276,5904,6253,4239,4205,4278,4858,4906,5070,4172,3917,4123,4244,4365,4177,4844,4549,4503,5522,5624,5736
