,time,Cascade_1,Cascade_2,Cascade_3,Cascade(nn)_1,Cascade(nn)_2,Cascade(nn)_3,N25-10µM_1,N25-10µM_2,N25-10µM_3,N25-10µM(nn)_1,N25-10µM(nn)_2,N25-10µM(nn)_3,N25-25µM_1,N25-25µM_2,N25-25µM_3,N25-25µM(nn)_1,N25-25µM(nn)_2,N25-25µM(nn)_3,N50-10µM_1,N50-10µM_2,N50-10µM_3,N50-10µM(nn)_1,N50-10µM(nn)_2,N50-10µM(nn)_3,N50-25µM_1,N50-25µM_2,N50-25µM_3,N50-25µM(nn)_1,N50-25µM(nn)_2,N50-25µM(nn)_3,RNA N183 5µM_1,RNA N183 5µM_2,RNA N183 5µM_3,RNA N183 5µM(nn)_1,RNA N183 5µM(nn)_2,RNA N183 5µM(nn)_3
0,0,4364,4183,4137,4462,4476,4383,4454,4304,4220,4312,4425,4179,4344,3993,4298,4459,3984,4293,4187,3987,3889,4017,4086,3973,4356,3900,4304,3963,3994,3863,4305,4180,4357,4310,4202,4329
1,60,4333,4586,4534,4464,4652,4530,4101,4095,4008,4379,4255,4255,4223,4081,3914,4227,4380,4064,3995,4221,4031,4071,4169,4064,4170,3736,4359,3934,4139,3866,4244,4088,4043,4189,4067,4378
2,120,4486,4400,4420,4680,4782,4760,4201,4262,4364,4384,4373,4335,3967,4217,4054,4135,3934,3902,4256,4151,3859,4188,4404,4062,4371,3753,4110,4364,4199,4032,4294,4027,4210,4426,4249,4447
3,180,4624,4189,4626,4715,4826,4947,4420,4099,4124,4491,4235,4631,4150,4084,3905,4182,3910,4106,3952,4179,3775,4108,3944,4120,4027,3904,4083,3972,4067,3843,4466,4095,4161,4429,4217,4320
4,240,4574,4548,4299,4909,5311,5120,4273,4085,3939,4552,4619,4805,4056,4005,4033,4421,4168,4439,3939,4166,3918,3901,3984,4303,4130,3921,3978,4032,3987,3920,4211,4105,4668,4708,4393,4458
5,300,4258,4745,4386,5330,5464,5307,4351,4199,4133,4710,4506,4616,3942,4186,4010,4158,4345,4272,4117,4475,3873,4319,4166,4269,4167,3802,3971,4192,3978,4204,4363,4332,4214,4704,4356,4609
6,360,4610,4816,4707,5509,5615,5790,3978,4028,3847,4779,4724,4691,3981,4331,4121,4505,4327,4372,4223,4076,3815,3991,4521,4095,4187,4228,4086,3962,4348,3955,4399,4356,3992,4636,4462,4641
7,420,4581,5023,4617,5888,5855,6041,4316,4206,4212,4925,4740,4984,3859,3959,3905,4367,4135,4361,4172,4265,4055,4392,4453,4022,4147,4055,4149,3959,4198,4116,4467,4285,4260,4958,4747,4796
8,480,5175,4796,5070,5735,6037,6568,4373,4319,4326,4931,4848,5032,4213,4208,4086,4472,4244,4301,4115,4137,3929,4430,4234,4249,4070,3878,3967,3866,3999,4056,4305,4201,4255,5273,4647,4783
9,540,4832,4868,4999,6293,6193,6894,4542,4436,4407,5085,5075,5126,4097,4425,4081,4292,4177,4509,4233,4249,4049,4500,4570,4062,4387,3935,4304,4245,4039,4219,4764,4532,4330,5206,5018,5110
10,600,5149,5330,4796,6527,6391,6853,4232,4167,4231,5310,5199,5469,4193,4036,4120,4428,4512,4409,4455,4160,4067,4235,4330,4090,4028,4055,3972,4179,4242,4030,4888,4132,4349,5357,4904,5082
11,660,5213,5273,4879,6643,7265,7374,4395,4327,4333,5662,5004,5733,4152,4197,4175,4626,4496,4650,4603,4370,3891,4076,4135,4048,4251,3701,4144,4005,4144,4060,4902,4219,4366,5241,4843,5265
12,720,5037,5231,5319,7047,7273,7420,4491,4562,4554,5366,5577,5736,4395,4382,4188,4579,4389,4478,4123,4134,4091,4372,4341,4124,4061,4050,3886,3929,4215,3871,4588,4606,4518,5709,5113,5468
13,780,5478,5652,5340,7397,7456,7902,4399,4430,4300,5675,5286,5615,4295,4324,4002,4467,4666,4653,4151,4072,3926,4599,4240,4270,4250,4099,4169,3985,4331,4012,4792,4750,4511,5405,5369,5455
14,840,5499,5861,5511,7730,8097,8294,4766,4459,4448,5817,6078,5796,4165,4437,4082,4627,4620,4533,4135,4281,3982,4363,4270,4182,4195,3984,4172,4159,3960,4064,4895,4788,4793,5843,5669,5500
15,900,5509,5846,5701,7849,8330,8135,4807,4550,4793,6070,5593,6001,4327,4352,4064,4589,4594,4724,4046,4245,4069,4506,4794,4392,4143,3881,4221,4049,4310,4061,4751,4507,4659,5781,5366,5806
16,960,5692,5955,5925,8312,8107,8110,4469,4552,4649,6291,5966,6562,4290,4402,4081,4812,5011,4990,4247,4213,4034,4475,4752,4396,4010,4103,3818,4111,4145,4315,4885,4821,4683,6238,5468,5953
17,1020,5738,6258,5893,8282,8705,8789,4589,4592,4463,6173,5957,6351,4095,4533,4222,4922,4939,4851,4170,4132,4291,4460,4673,4800,4044,3887,4164,4165,4223,4086,4998,4539,4517,6321,5542,5837
18,1080,5881,6069,6213,8629,8774,8724,4961,4569,4356,6232,5899,6629,4405,4518,4223,4812,4989,4944,4170,4338,3873,4567,4610,4615,4226,4025,4009,4192,4076,3985,5097,4517,4698,6076,5931,5991
19,1140,6145,6328,6252,8877,8820,9345,4668,4628,4635,6498,6751,6762,4173,4322,4306,5099,5201,5006,4309,4411,4047,4677,4445,4333,4315,4124,4145,3999,4293,4311,5034,4897,4706,6271,5960,6558
20,1200,6145,6550,6077,9046,9069,9318,4737,4838,4498,6411,6176,6718,4352,4334,4086,5314,5285,5187,4410,4331,4050,4610,4594,4452,4173,3986,4306,3872,4198,4061,5171,4948,4950,6884,5747,6362
21,1260,6380,7014,6321,9303,9264,9327,4843,4888,4763,6708,6819,6878,4049,4357,4298,5026,5127,5388,4085,4241,4080,4781,4548,4460,4048,4000,4087,4235,4049,4131,5005,4874,4780,6707,6010,6225
22,1320,6348,6892,6424,9035,9422,9840,4744,4768,4810,6763,6554,6923,4434,4430,4502,5256,5185,5128,4405,4282,4240,4732,4975,4468,3966,4078,4007,4349,4218,4141,5057,4867,5141,6832,6165,6664
23,1380,6328,7053,6698,9764,9325,9987,4941,4917,4839,7282,6553,6805,4339,4623,4448,5396,5082,5373,4166,3935,3934,4793,4926,4631,3969,4162,4138,4137,4205,4050,5068,4805,5007,6925,6343,6602
24,1440,6761,7242,6920,9521,9950,10310,4811,5196,4662,6899,6908,7334,4458,4280,4559,5137,5370,5415,4070,4347,4043,4706,4644,4576,4166,4024,4210,4110,4181,4226,5143,5166,4598,6802,6308,6976
