,time,Inv C: Rep G,Inv T: Rep G,Inv G: Rep G,Inv A: Rep G,Inv C: Rep isoG,Inv T: Rep isoG,Inv G: Rep isoG,Inv A: Rep isoG
0,0,0.6065937749,0.1767835449,0.2111348498,0.1432700767,0.08462150727,0.2119726865,0.3954589251,0.2052699929
1,90,1.546646559,0.2144861966,0.2530266851,0.1859997486,0.1776213816,0.1105944451,0.2479996649,-0.0444053454
2,180,2.148213313,0.04021616187,0.02764861129,0.108080935,0.4683507184,0.3133509279,0.3594319467,0.08043232374
3,270,2.450672364,0.2404591345,0.1072430983,0.3854048846,0.2371077877,0.3242428051,0.2178375435,0.1575133007
4,360,3.451887227,0.250513175,0.2438104813,0.1851619119,0.509404717,0.2086213397,0.2454861547,-0.03854048846
5,450,3.639562649,0.5135939005,0.04189183528,0.3309454987,0.6593774873,0.5370533283,0.2069456663,0.07540530351
6,540,4.055129655,0.1826484018,0.02597293787,0.3460265594,0.4046751288,0.3141887646,0.1952159524,0.1700808512
7,630,4.613128901,0.5856478572,0.1633781576,0.3518914164,0.8277826652,0.1382430564,0.193540279,0.1164593021
8,720,4.871182607,0.3636211302,0.2781617863,0.1382430564,0.5613505928,0.2102970131,0.4792425956,0.1742700348
9,810,5.528046584,0.452431821,-0.1013782414,-0.02848644799,0.401323782,0.3066482343,0.5077290436,-0.01759457082
10,900,6.127937665,0.3032968874,0.1985672992,0.2438104813,0.3125130912,0.09802689456,0.1901889322,0.2605672154
11,990,6.344099535,0.1441079134,0.4247832098,0.28737799,0.6752963847,0.2521888484,0.5102425537,0.4046751288
12,1080,6.334883331,0.2806752964,0.4314859034,0.3694859872,0.7347827908,0.3108374178,0.4197561895,0.0008378367056
13,1170,7.011855389,0.1851619119,0.1256755058,0.08127016045,0.5462695321,0.2982698672,0.6652423443,0.2672699091
14,1260,7.130828202,0.4448912907,0.4180805161,0.1994051359,0.7775124628,0.1910267689,0.8612961334,0.2136483599
15,1350,7.540530351,0.4733777387,0.3552427632,0.03099995811,0.5881613673,0.4876209627,0.6191613255,0.2572158686
16,1440,7.968664907,0.4147291693,0.3292698253,-0.03518914164,0.8847555611,0.7431611579,0.3284319886,-0.05278371245
17,1530,7.657827489,0.5328641448,-0.05445938587,0.2287294206,0.6752963847,0.6509991203,0.5462695321,0.3066482343
18,1620,8.081772862,0.1399187298,0.2890536634,0.3711616606,0.8612961334,0.731431444,0.5311884714,0.2320807675
19,1710,8.480583134,0.5571614092,0.6870260986,0.3577562733,0.9626743748,0.6392694064,0.6853504252,0.06535126304
20,1800,8.88358259,0.7473503414,0.3426752126,0.3234049684,1.033052658,0.5889992041,0.5688911231,0.4147291693
21,1890,9.233798333,0.3770265175,0.3083239077,0.1843240752,0.9685392317,0.6342423862,0.5982154078,0.3259184785
22,1980,9.437392652,0.3426752126,0.3577562733,0.1382430564,0.8302961753,0.6409450798,0.7021071593,0.2035943195
