,time,Buffer_1,Buffer_2,Buffer_3,R_1,R_2,R_3,R(nn)_1,R(nn)_2,R(nn)_3,OneStep_1,OneStep_2,OneStep_3,OneStep(nn)_1,OneStep(nn)_2,OneStep(nn)_3,N25-10µM_1,N25-10µM_2,N25-10µM_3,N25-10µM(nn)_1,N25-10µM(nn)_2,N25-10µM(nn)_3,N25-25µM_1,N25-25µM_2,N25-25µM_3,N25-25µM(nn)_1,N25-25µM(nn)_2,N25-25µM(nn)_3,N50-10µM_1,N50-10µM_2,N50-10µM_3,N50-10µM(nn)_1,N50-10µM(nn)_2,N50-10µM(nn)_3,N50-25µM_1,N50-25µM_2,N50-25µM_3,N50-25µM(nn)_1,N50-25µM(nn)_2,N50-25µM(nn)_3
0,0,3727,3824,3880,3867,4059,3817,3977,4233,3863,4857,4697,4760,5407,5082,5077,4354,4264,4144,4810,4576,4566,4990,4024,3999,4245,4166,4588,4019,4003,3832,4170,3894,4297,4131,3780,3859,3925,3765,4241
1,60,3914,3692,3869,3888,3770,3646,3883,3927,3751,4825,4867,5249,5577,5711,5712,4138,4170,4328,4363,4396,4544,4793,3841,3802,4495,4301,4769,4034,4050,4102,3944,4175,4153,3976,3805,3735,3877,3853,3839
2,120,3700,3756,3734,4016,3980,3756,4161,3990,3760,4981,5197,5109,6174,6209,6301,4179,4412,4293,4711,5050,4622,5232,4090,4063,4420,4443,4811,3994,3847,4211,4113,4162,4201,4159,3869,3828,3930,3944,3750
3,180,3771,3776,3741,3845,3918,3668,3895,4086,3785,5219,5060,5346,6817,6831,6899,4482,4344,4290,5222,5032,4873,4918,4293,3783,4382,4707,4868,4066,3904,3944,4136,4206,4321,4169,4188,4025,4312,4080,4203
4,240,4021,3593,3350,3627,4087,3804,3974,4299,3975,5320,5659,5910,7005,7600,7477,4324,4355,4357,5260,5212,5068,5126,4303,4028,4620,4901,4934,3894,4060,3996,4254,4415,4592,4126,3879,3786,4250,4130,3972
5,300,3850,3873,3842,3866,3914,3890,3885,4126,3841,5738,5595,5899,7742,7902,7707,4555,4413,4585,5616,5521,5337,5106,3923,4344,4702,5068,5323,4258,4221,4069,4389,4242,4777,4092,3835,4271,4170,4096,4055
6,360,3742,3619,3939,3891,3834,3860,3899,4168,4025,5910,6183,5982,8058,8285,8092,4516,4182,4520,5450,5559,5883,5214,4153,4020,4798,5021,5512,4242,3936,4046,4390,4425,4490,4204,4057,4005,4120,4018,4359
7,420,3894,3894,3751,4010,3853,3806,3970,4118,3808,5963,6046,6352,8216,8935,8507,4821,4482,4848,6078,6169,5822,5061,4313,4295,5288,5296,5609,4145,3968,3872,4347,4643,4629,3889,4033,3645,3983,4099,4175
8,480,3653,3965,3865,4092,3879,3850,4108,4197,3847,6221,6321,6525,8830,8838,9085,4599,4757,5002,6111,6243,6306,4964,4452,4321,5534,5668,5426,4130,3949,3992,4439,4471,4808,4232,3919,3890,4103,3962,4221
9,540,3869,3730,3883,3737,3888,3742,4064,4439,3857,6210,6657,6440,9540,9723,9344,4884,4743,4823,6496,6803,6975,5090,4218,4472,5501,5647,5350,4356,4177,4016,4802,4623,5056,4075,4104,4268,4340,4251,4259
10,600,4174,3609,3563,3738,3845,3806,3662,4101,3722,6788,7010,7018,9815,9710,9863,4991,4787,5031,6354,6967,6293,5337,4460,4250,5727,5910,5734,4288,3997,3925,4852,4659,4938,4297,3942,4065,4139,4104,4319
11,660,3945,3869,3727,4012,3945,4056,4082,4107,3775,6486,7118,7329,10398,10100,10225,5061,4775,5286,6943,7337,6733,5143,4323,4276,5753,6011,6171,4580,4084,4166,4649,4708,5412,4097,3968,4100,4314,4200,4255
12,720,3819,3518,3825,4024,3937,3802,4065,3997,3927,6792,7215,7432,10393,10498,10382,5180,5076,5299,7111,7261,7017,5236,4564,4351,5807,6441,5606,4066,4102,3931,4823,4950,5096,4157,3872,3961,4421,4410,4469
13,780,4050,3907,3766,4062,3890,3869,3799,4490,3870,7415,7332,7755,10583,10827,10806,5244,5230,5443,7268,7651,7139,5366,4600,4343,6181,6363,5871,4275,4016,3968,5205,5069,5485,4129,3879,3977,4446,4293,4351
14,840,3979,3856,3729,3810,4172,3771,3892,4106,3756,7657,7529,7710,11038,11201,11434,5292,5234,5411,7837,8252,7488,5348,4417,4598,6282,6346,5922,4538,4212,4118,5220,5235,5448,4144,4046,3950,4375,4306,4316
