,Time,"T° inc_overnight:563,592",B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16
0,0:00:00,25.1,646,4766,6508,7550,13907,302,11487,13944,17159,25088,615,4186,7011,7913,12631,365,11344,14788,16708,24742,559,4343,7080,7948,13325,377,8373,14907,18218,26175,287,733,1405,1687,4322,278,873,1575,2271,2551,364,565,693,750,2138,301,812,1276,1917,3847,285,816,1429,2156,2924,277,508,945,1117,2204,279,792,1201,1899,3817,287,712,1212,1157,2561,333,558,762,917,1956
1,0:00:45,25,580,5408,7382,8801,15594,309,11631,14736,17678,25456,579,4701,7923,9400,14618,386,11589,15421,18082,25189,609,4821,8298,9353,15050,287,8482,15299,18147,26597,303,841,1612,2098,4091,308,973,1589,2306,3120,407,685,865,1025,2469,348,925,1552,1992,4243,314,917,1470,2143,3337,312,732,1151,1468,2816,323,898,1360,2112,4177,255,726,1321,1433,3299,302,642,915,1213,2520
2,0:01:30,25,603,5898,8530,9953,16437,300,11667,15347,18425,25368,605,5448,8840,10451,15798,316,11647,15408,18506,26212,559,5497,9272,10445,16571,358,8288,15309,18468,26620,319,947,1584,2275,4384,317,977,1786,2335,3440,402,748,1066,1310,2919,264,1097,1595,2231,4296,314,1005,1627,2365,3591,298,716,1225,1665,3423,273,968,1646,2264,4207,318,834,1366,1754,3246,367,720,1122,1478,2968
3,0:02:15,25,595,6171,8967,10811,17447,353,11964,15224,18603,25784,640,6032,9540,11115,16586,333,11721,15087,18606,25389,622,6007,9675,11019,17193,328,8469,15459,19265,26471,339,1027,1817,2392,4324,362,955,1695,2429,3518,394,755,1224,1607,3316,319,973,1716,2337,4223,314,1057,1711,2302,3709,340,776,1318,1843,3435,324,1026,1828,2364,4169,315,847,1448,1816,3780,255,748,1276,1783,3296
4,0:03:00,25,616,6757,9608,11207,18250,317,11786,15393,18590,25838,536,6422,9815,11573,17958,316,12337,15356,19159,25952,623,6356,10173,11633,17635,297,8615,15759,19086,26563,321,1083,1826,2511,4323,334,1057,1733,2363,3750,422,888,1250,1612,3465,309,1031,1869,2484,4390,341,1003,1740,2484,3813,292,819,1438,1903,3764,294,1034,1856,2500,4391,348,857,1224,2067,3698,293,830,1192,1688,3554
5,0:03:45,25,641,7100,9909,11730,18210,358,11870,15786,19238,25821,649,6657,10328,12162,17820,366,12219,15463,19426,25817,599,6723,10590,12178,18426,335,8523,15686,19399,26731,303,1043,1772,2694,4330,275,999,1845,2495,3684,377,858,1286,1675,3607,338,1117,1912,2551,4213,289,1035,1819,2396,3854,365,922,1501,2025,4029,357,1150,1840,2524,4384,321,924,1303,1937,3938,319,965,1424,1974,3822
6,0:04:30,25,625,7207,10508,12189,18955,300,11813,16094,19375,25955,590,7089,10850,12683,18468,333,12099,15715,19655,25790,577,6842,10901,12761,18287,295,8574,15290,18916,26855,300,1192,1878,2621,4447,331,1085,1757,2533,3743,386,910,1435,1895,3892,329,1237,1930,2675,4499,302,921,1866,2260,3909,314,926,1474,2039,4045,375,1141,1857,2676,4607,276,957,1311,2099,3932,327,919,1474,2051,3876
7,0:05:15,25,571,7448,10853,12500,18553,291,11749,15803,19529,25982,599,7446,11151,13077,18506,387,11827,15772,19382,25502,640,7092,11082,12750,18661,284,8597,15445,19231,26696,349,1152,1827,2692,4337,282,1156,1720,2442,3874,470,857,1373,1922,3842,330,1132,2019,2716,4522,333,908,1749,2412,3934,322,926,1632,2114,4178,373,1165,1985,2750,4583,316,875,1307,2221,4052,282,921,1556,1972,4104
8,0:06:00,25,603,7525,10973,12604,19196,300,11824,15793,19269,25779,650,7531,10948,13333,18593,302,11915,15760,19651,25609,709,7613,11433,13416,18736,318,8654,15221,19172,27318,322,1104,1910,2602,4397,308,1030,1806,2503,3863,395,861,1492,2104,4116,292,1046,1982,2706,4298,327,1040,1701,2351,3984,344,944,1686,2298,3984,295,1105,1997,2709,4168,312,997,1361,2101,4116,314,960,1696,2269,4217
9,0:06:45,25,568,7919,11216,13512,19052,339,11671,16363,19413,26292,581,7750,11589,13554,18318,365,12138,15718,19685,25336,594,7593,11726,13724,19142,334,8835,15357,19251,26865,308,1085,1977,2776,4168,372,1091,1870,2468,3852,434,898,1462,2038,3927,350,1206,1994,2702,4563,312,1083,1850,2399,3919,326,944,1548,2223,4246,339,1114,2092,2807,4532,323,860,1293,2067,3948,322,1058,1548,2206,4220
10,0:07:30,25,658,7896,11475,13963,19240,332,11814,16008,19424,26178,581,7832,11560,13965,18647,295,12088,15494,19318,25857,632,7701,11801,13897,18806,330,8667,15558,19362,26744,298,1189,2040,2797,4201,278,1056,1824,2452,4009,411,872,1435,2056,4014,292,1090,1950,2699,4351,293,942,1816,2408,4028,314,915,1612,2235,4255,313,1140,2032,2937,4401,312,933,1312,2100,3968,315,1021,1651,2257,4062
11,0:08:15,25,659,8198,11639,13823,19332,313,11757,15691,19326,25871,565,7904,11844,14090,18992,303,11788,15405,19680,26054,607,7991,11875,14000,19364,334,8562,15652,18980,26746,305,1123,1948,2881,4359,285,1004,1792,2512,3866,471,1012,1559,2120,4096,280,1227,2001,2805,4361,290,1129,1779,2525,3935,317,960,1572,2187,4348,286,1249,1973,2897,4507,310,975,1256,2164,4120,359,925,1582,2249,4102
12,0:09:00,25,637,8200,11907,14054,19315,277,11887,15876,19345,25980,646,8301,11827,14090,18863,357,11862,15471,19935,25664,580,8179,12155,14411,19453,325,8617,15665,19182,26777,308,1014,2030,2767,4362,290,1063,1784,2540,3988,431,968,1484,2042,4112,293,1172,2038,2767,4372,281,1098,1852,2472,3917,336,868,1662,2275,4268,328,1215,2127,2855,4653,303,939,1321,2237,3940,317,922,1619,2335,4313
13,0:09:45,25,682,8561,12038,13807,19208,303,12045,15833,19258,25829,569,8408,12128,14260,18885,293,11916,15720,19602,26348,662,8051,12137,14429,19075,356,8633,15348,19257,26802,287,1098,2088,2776,4219,325,1070,1903,2552,3865,376,934,1507,2287,4241,268,1314,2018,2751,4394,291,1011,1803,2465,3899,325,978,1671,2285,4301,291,1222,2095,2724,4300,335,909,1323,2102,3994,329,1041,1490,2273,4318
14,0:10:30,25,566,8663,12069,14384,19336,337,11986,15791,19865,25984,649,8323,12009,14400,19180,312,11921,15669,19717,25977,596,8238,12300,14495,19487,315,8475,15529,18793,26895,327,1189,2056,2980,4413,298,1062,1813,2449,3995,479,926,1634,2145,4101,280,1201,1958,2756,4567,268,956,1794,2576,4081,324,894,1575,2308,4333,294,1168,2197,3109,4436,358,966,1334,2129,4032,363,1105,1610,2344,4290
15,0:11:15,25,663,8615,12323,15068,19555,306,11825,15918,19551,26363,649,8810,12342,14782,19124,287,12076,15643,19501,25948,635,8350,12260,14803,19261,335,8736,15476,19175,26966,279,1122,2027,2852,4309,240,1060,1719,2390,3947,378,918,1455,2234,4298,341,1151,2142,2787,4449,332,1066,1764,2514,4006,293,949,1605,2280,4355,304,1180,2062,2789,4233,340,989,1302,2202,4134,321,1031,1610,2274,4326
