,Time,"T° ATTO565_120:563,592",J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23
0,0:00:00,25,690,1191,1781,2275,16140,823,660,824,803,2304,594,1353,1812,2593,18200,716,785,949,1007,2715,635,1121,1658,2274,16296,751,733,807,850,2123,643,1393,1926,2415,16932,826,759,877,953,2498,672,1218,1705,1980,15745,688,767,731,854,2276,662,1221,1989,2486,17866,693,792,821,973,2702,569,671,671,770,1113,656,558,629,683,825,624,659,628,676,797,904,2041,704,686,694,653,917,655,666,753,802,1190,616,684,664,693,852,625,680,674,753,863,975,1781,706,718,738,752,983,700,667,743,656,1221,639,690,579,662,792,671,656,679,724,991,1122,2234,658,614,635,715,975
1,0:01:03,25,668,1266,1972,2342,18219,739,707,890,960,2839,642,1176,1996,2820,19192,629,833,1111,1105,3277,638,1293,1873,2626,17924,732,782,851,1048,2576,646,1426,1945,2727,18385,768,848,1109,1132,2862,636,1154,1773,2318,17666,703,787,949,1061,2645,646,1318,1891,2646,19166,653,787,1011,1206,3033,596,636,818,962,1373,633,655,679,656,927,642,716,628,711,900,1153,2619,794,652,728,754,1146,693,758,678,830,1284,650,654,636,674,964,678,783,661,878,1067,1182,2208,712,704,735,786,1153,714,765,788,864,1300,631,649,691,693,920,646,663,630,760,1200,1241,2467,630,658,703,765,1221
2,0:02:06,25,595,1309,1979,2710,18934,784,757,965,1093,2969,683,1366,2075,2768,19905,702,954,1224,1333,3333,708,1294,1916,2678,18866,740,864,886,1088,2932,680,1345,2099,2762,19532,774,996,1160,1422,3282,551,1377,1992,2507,18341,760,740,1138,1163,2979,698,1367,2094,3022,20364,711,960,1163,1447,3346,686,668,807,1024,1584,656,637,662,711,1082,674,772,647,784,1011,1244,2872,766,797,882,816,1306,683,789,792,946,1524,588,648,660,759,1164,661,755,618,971,1252,1342,2404,755,714,851,910,1368,739,806,915,956,1392,544,617,679,795,1128,659,687,643,931,1122,1425,2746,670,717,774,996,1394
3,0:03:09,25,674,1338,2198,2786,19461,718,790,1067,1245,3192,648,1387,2118,2996,20159,680,989,1283,1487,3537,681,1208,2063,2775,19768,674,853,1040,1257,3093,691,1308,2153,2937,20324,780,976,1240,1575,3443,739,1295,2001,2632,19460,710,923,1085,1226,3038,691,1369,2216,3066,20709,722,971,1248,1504,3460,703,751,956,1059,1765,641,646,726,697,1279,676,748,601,923,1093,1548,3192,709,749,929,1020,1662,653,724,956,1017,1738,662,646,649,745,1341,635,886,669,922,1355,1543,2720,699,800,982,1095,1680,651,783,971,1079,1575,659,592,698,835,1242,612,870,578,894,1350,1437,3173,600,815,924,1035,1502
4,0:04:12,25,613,1399,2054,2891,20415,762,902,1183,1352,3489,643,1425,2186,2892,20789,728,1093,1349,1685,3723,742,1320,2101,2887,19741,758,953,1114,1353,3236,707,1346,2228,3084,20356,819,1072,1408,1727,3500,658,1345,2207,2841,19586,711,980,1338,1406,3390,602,1416,2341,3092,21022,694,1000,1338,1564,3684,615,881,988,1168,2005,699,707,731,842,1299,651,881,650,882,1226,1681,3342,694,817,1132,1170,1821,633,749,966,1095,1814,581,622,689,847,1369,608,895,659,999,1466,1636,2958,727,833,984,1281,1827,659,870,1056,1151,1817,566,718,773,782,1436,694,849,682,933,1447,1655,3186,711,740,1039,1187,1932
5,0:05:15,25,643,1337,2235,2826,20681,750,896,1233,1384,3395,620,1412,2431,3161,20725,738,1194,1542,1804,3852,725,1317,2149,3071,20242,755,911,1148,1450,3443,675,1450,2249,3039,20779,780,1149,1488,1826,3775,732,1343,2175,2823,20085,734,966,1206,1524,3568,693,1334,2218,3161,21236,703,1061,1528,1900,3673,651,817,1094,1359,2121,674,675,788,918,1580,617,920,705,919,1427,1795,3466,773,800,1227,1277,2112,581,819,1024,1228,1959,704,793,701,912,1687,700,878,713,1168,1725,1790,3046,723,898,1095,1305,2128,645,958,1072,1306,1922,601,709,741,923,1662,641,880,640,1058,1646,1979,3299,665,819,1157,1327,2078
6,0:06:18,25.1,654,1427,2160,2867,20762,736,925,1479,1549,3514,610,1455,2385,3112,20945,788,1228,1740,2036,3972,756,1347,2315,2989,20745,773,973,1277,1559,3449,647,1464,2285,3129,20880,831,1207,1564,1933,3812,709,1380,2239,2831,20630,696,1058,1303,1708,3482,635,1383,2276,2914,21102,704,1203,1567,1907,3879,638,811,1132,1443,2177,640,721,793,902,1758,644,988,632,995,1411,1922,3537,819,942,1245,1402,2243,644,956,1147,1533,2166,576,683,760,926,1725,654,1011,779,1203,1850,1948,3237,729,860,1190,1477,2371,656,897,1091,1428,2098,645,692,835,941,1777,724,959,639,1108,1793,2036,3496,639,905,1226,1361,2303
7,0:07:21,25,651,1401,2224,3095,21273,780,980,1376,1608,3630,613,1442,2195,3063,21255,724,1269,1736,2146,3994,684,1461,2204,3112,21251,771,959,1385,1635,3491,649,1553,2258,3150,21127,804,1214,1736,2116,3905,664,1507,2154,2930,21041,703,967,1495,1722,3549,714,1344,2290,3119,21066,701,1227,1703,1991,3786,719,905,1220,1430,2319,714,644,768,948,1870,598,959,673,1094,1542,1976,3699,731,808,1430,1450,2599,640,947,1128,1399,2361,650,755,834,967,1892,662,1006,635,1176,1782,1961,3376,726,987,1387,1539,2458,700,956,1204,1492,2343,590,696,829,1023,1849,761,1023,655,1075,1820,2135,3564,639,815,1432,1604,2449
8,0:08:24,25,626,1444,2240,3071,21425,713,963,1510,1695,3798,649,1469,2257,3224,21017,692,1266,1837,2102,4153,640,1391,2268,3080,21237,781,1015,1412,1765,3568,659,1324,2370,3133,21426,819,1210,1702,2230,3914,654,1490,2027,2999,20691,743,1045,1490,1878,3497,650,1544,2311,3163,21209,668,1228,1604,2003,4021,628,1018,1261,1689,2502,633,750,830,1048,1928,619,1005,657,1020,1555,2071,3922,725,1000,1468,1681,2696,606,995,1375,1545,2454,660,794,838,1052,2029,657,974,619,1248,1890,2129,3511,737,998,1309,1758,2605,703,1005,1226,1515,2269,699,801,886,1031,1780,656,1096,654,1161,1815,2212,3710,664,959,1421,1770,2393
9,0:09:27,25,677,1288,2256,3089,21489,815,1025,1480,1757,3609,677,1483,2374,3222,20861,715,1334,1760,2272,4246,612,1489,2307,3134,20800,733,1061,1448,1774,3624,658,1435,2215,3243,21663,783,1300,1847,2469,4100,681,1459,2230,3091,20852,714,1029,1501,1833,3745,554,1435,2364,2967,21383,715,1306,1704,2049,4161,542,1043,1433,1851,2499,720,739,852,1078,2139,586,1118,661,1235,1762,2203,3830,649,1061,1713,1700,2837,657,1068,1356,1718,2578,642,749,840,1062,2038,675,1126,715,1228,1972,2206,3433,689,1034,1599,1807,2735,658,1034,1359,1664,2351,631,731,890,1077,2095,654,1085,575,1224,2083,2340,3601,726,945,1497,1881,2578
