,Time,"T° ATTO565_120gain:563,592",B2,B3,B4,B5,B6,B7,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7,E2,E3,E4,E5,E6,E7,F2,F3,F4,F5,F6,F7,G2,G3,G4,G5,G6,G7
0,0:00:00,25.3,254,9129,330,6757,378,7200,280,8841,274,6894,353,6775,332,9416,275,6947,331,6869,250,8909,329,5736,353,6505,229,9359,281,5705,343,6655,337,9308,265,5706,350,6537
1,0:00:30,25.3,304,9526,290,7157,396,7456,294,9423,335,7461,329,7430,293,9799,406,7275,313,7242,262,9606,329,5906,375,7104,284,9495,322,6212,320,6906,282,9335,319,6226,355,7096
2,0:01:00,25.3,358,9673,317,7706,283,7769,232,9583,382,7582,290,8085,323,9949,367,7699,285,7672,244,9553,348,6200,279,7433,309,9860,370,6816,349,7438,259,9391,301,6229,348,7441
3,0:01:30,25.3,277,9879,326,8508,304,8480,301,10523,332,8065,409,8197,247,10038,339,8175,301,8215,322,9517,341,6972,344,7578,229,9661,357,6832,285,7572,266,9506,296,6967,319,7590
4,0:02:00,25.3,241,9480,338,8057,306,9084,299,10061,323,8124,337,8097,251,10193,360,8267,360,8401,304,9655,323,7058,303,7459,295,9519,339,7335,340,7324,292,9590,337,7220,296,8206
5,0:02:30,25.3,305,9898,345,7964,368,8614,288,9883,323,8388,349,8519,247,10524,414,8754,283,8266,233,9821,341,7313,332,8011,251,9875,359,7574,294,8128,295,9714,329,7148,354,8089
6,0:03:00,25.3,273,10025,370,8528,340,8660,255,10271,374,8575,341,8656,280,10523,393,8497,302,8419,328,9411,350,7449,293,8033,296,10227,310,7450,335,8106,316,9574,343,7523,304,8364
7,0:03:30,25.3,271,10023,334,8676,374,9036,260,10345,349,8699,337,9223,290,10208,382,8704,275,8448,262,9889,337,7884,273,8215,253,9907,362,8005,328,7969,272,9483,339,7454,326,7975
8,0:04:00,25.2,286,9864,324,8994,357,9287,255,10232,308,8919,294,9307,274,10232,354,8832,322,8856,296,9666,381,7900,357,8296,291,9713,331,7732,304,8296,256,9756,372,7485,289,8481
9,0:04:30,25.2,300,9783,404,9219,302,9238,286,10296,338,9106,317,9027,282,10404,330,8732,317,8832,325,9628,310,7914,307,8055,253,9596,301,7993,342,8452,271,9872,345,7968,344,8624
