,Time,"T° triggered:563,592",K2,K3,K4,L2,L3,L4,M2,M3,M4
0,0:00:00,25,208,5339,2198,230,5382,1538,209,5169,2232
1,0:00:30,25,201,5437,2345,228,5593,1596,238,5280,2303
2,0:01:00,25,234,5418,2367,229,5442,1707,251,5462,2336
3,0:01:30,25,233,5514,2481,217,5616,1756,240,5413,2369
4,0:02:00,25,220,5498,2461,212,5488,1858,240,5263,2453
5,0:02:30,25,235,5553,2542,226,5594,1907,228,5381,2511
6,0:03:00,25,204,5531,2569,248,5617,1990,255,5363,2566
7,0:03:30,25,223,5494,2583,223,5440,2001,222,5465,2566
8,0:04:00,25,224,5521,2639,245,5558,2052,228,5371,2689
9,0:04:30,25,227,5487,2720,236,5664,2153,232,5287,2675
10,0:05:00,25,238,5526,2787,239,5571,2181,249,5366,2692
11,0:05:30,25,237,5497,2735,227,5520,2186,229,5433,2805
12,0:06:00,25,244,5516,2808,214,5557,2244,240,5470,2732
13,0:06:30,25,198,5646,2830,226,5513,2358,224,5377,2830
14,0:07:00,25,217,5582,2864,226,5551,2386,233,5420,2826
15,0:07:30,25,224,5591,2864,230,5555,2372,232,5358,2936
16,0:08:00,25,214,5559,2866,238,5737,2375,202,5379,2818
17,0:08:30,25,237,5417,3013,245,5707,2430,235,5480,2946
18,0:09:00,25,229,5627,2953,217,5671,2454,221,5463,2936
19,0:09:30,25,227,5564,2957,240,5581,2445,230,5419,2925
20,0:10:00,25,216,5630,3050,205,5654,2625,223,5423,2986
21,0:10:30,25,249,5559,2972,255,5623,2536,242,5434,2963
22,0:11:00,25,230,5662,3049,226,5655,2613,233,5534,3056
23,0:11:30,25,199,5723,3055,240,5738,2631,240,5401,3006
24,0:12:00,25,221,5582,3122,235,5427,2598,232,5455,3042
25,0:12:30,25,241,5632,3101,242,5654,2633,231,5582,3094
26,0:13:00,25,245,5594,3148,235,5594,2759,228,5381,3159
27,0:13:30,25,239,5582,3166,238,5615,2775,236,5451,3088
28,0:14:00,25,216,5644,3228,224,5717,2780,232,5468,3229
29,0:14:30,25,235,5627,3214,247,5662,2789,260,5442,3148
30,0:15:00,25,250,5613,3201,227,5639,2802,239,5456,3164
31,0:15:30,25,229,5600,3269,225,5682,2735,232,5522,3202
32,0:16:00,25,234,5620,3367,240,5677,2824,228,5524,3149
33,0:16:30,25,234,5628,3208,252,5766,2763,234,5401,3251
34,0:17:00,25,231,5644,3351,247,5705,2860,249,5413,3188
35,0:17:30,25,245,5655,3303,258,5546,2917,231,5406,3150
36,0:18:00,25,218,5690,3319,226,5720,2865,239,5584,3281
37,0:18:30,25,224,5636,3343,222,5664,2946,241,5546,3243
38,0:19:00,25,232,5629,3401,241,5632,2938,233,5486,3346
39,0:19:30,25,233,5618,3340,259,5693,2945,232,5541,3282
40,0:20:00,25,228,5663,3349,235,5675,2976,229,5478,3271
41,0:20:30,25,240,5729,3344,241,5575,2983,250,5468,3293
42,0:21:00,25,226,5557,3374,240,5596,2991,248,5423,3408
43,0:21:30,25,230,5808,3367,225,5829,2989,240,5431,3414
44,0:22:00,25,222,5665,3424,249,5699,3112,234,5501,3347
45,0:22:30,25,234,5699,3466,239,5676,3018,235,5560,3405
46,0:23:00,25,244,5631,3405,247,5681,3039,235,5567,3464
47,0:23:30,25,242,5723,3480,242,5666,3044,230,5511,3423
48,0:24:00,25,240,5700,3561,221,5626,3214,257,5424,3329
49,0:24:30,25,219,5644,3418,247,5743,3146,237,5562,3406
50,0:25:00,25,247,5680,3395,247,5713,3175,266,5513,3410
51,0:25:30,25,240,5693,3522,245,5709,3083,251,5493,3497
52,0:26:00,25.1,237,5709,3558,237,5667,3096,240,5620,3499
53,0:26:30,25.1,210,5665,3492,243,5771,3159,250,5416,3473
54,0:27:00,25.1,231,5758,3550,255,5693,3122,243,5490,3485
55,0:27:30,25.1,249,5666,3541,239,5604,3088,230,5485,3444
56,0:28:00,25,257,5737,3548,238,5753,3212,244,5570,3414
57,0:28:30,25.1,226,5655,3567,231,5762,3267,239,5523,3374
58,0:29:00,25.1,240,5711,3581,240,5689,3279,223,5540,3513
59,0:29:30,25.1,235,5695,3484,237,5588,3201,249,5567,3449
60,0:30:00,25,222,5695,3615,273,5749,3112,246,5455,3535
61,0:30:30,25.1,224,5797,3524,238,5633,3201,238,5628,3505
62,0:31:00,25.1,245,5566,3485,252,5592,3236,246,5591,3534
63,0:31:30,25.1,231,5674,3592,251,5647,3316,263,5491,3486
64,0:32:00,25.1,220,5744,3550,230,5716,3267,226,5506,3519
65,0:32:30,25.1,246,5641,3621,227,5690,3224,251,5598,3491
66,0:33:00,25,222,5739,3594,242,5754,3268,237,5506,3583
67,0:33:30,25.1,243,5655,3694,222,5689,3287,237,5402,3501
68,0:34:00,25.1,218,5671,3620,227,5600,3313,226,5431,3614
69,0:34:30,25,225,5640,3660,255,5664,3313,243,5545,3580
70,0:35:00,25.1,232,5754,3689,240,5594,3358,229,5466,3618
71,0:35:30,25.1,236,5753,3642,220,5742,3232,240,5585,3738
72,0:36:00,25.1,233,5599,3680,217,5681,3299,238,5557,3587
73,0:36:30,25.1,233,5663,3725,234,5678,3335,231,5516,3596
74,0:37:00,25.1,226,5692,3851,215,5807,3373,240,5575,3634
75,0:37:30,25.1,240,5700,3646,244,5785,3358,253,5349,3606
76,0:38:00,25.1,250,5724,3698,238,5797,3395,255,5506,3559
77,0:38:30,25.1,244,5615,3770,261,5783,3371,239,5473,3649
78,0:39:00,25.1,232,5664,3752,212,5806,3415,238,5580,3708
79,0:39:30,25.1,251,5692,3770,212,5806,3302,232,5503,3662
80,0:40:00,25.1,258,5721,3805,237,5733,3383,235,5466,3612
81,0:40:30,25.1,217,5712,3743,236,5731,3426,231,5527,3676
82,0:41:00,25.1,249,5649,3743,239,5659,3402,217,5655,3774
83,0:41:30,25.1,244,5674,3756,237,5671,3480,261,5534,3712
84,0:42:00,25.1,221,5612,3792,226,5838,3482,255,5504,3657
85,0:42:30,25.1,237,5675,3764,233,5866,3461,245,5596,3695
86,0:43:00,25.1,237,5688,3764,233,5864,3404,233,5493,3677
87,0:43:30,25.1,219,5703,3758,231,5706,3373,216,5495,3671
88,0:44:00,25.1,231,5598,3873,238,5722,3450,240,5482,3583
89,0:44:30,25.1,204,5588,3829,232,5565,3474,231,5508,3626
90,0:45:00,25.1,222,5848,3761,240,5681,3497,258,5537,3750
91,0:45:30,25.1,242,5709,3802,245,5846,3489,231,5532,3730
92,0:46:00,25.1,197,5674,3793,231,5726,3474,246,5562,3715
93,0:46:30,25.1,223,5655,3936,236,5667,3536,251,5606,3676
94,0:47:00,25.1,235,5793,3881,233,5717,3567,238,5498,3710
95,0:47:30,25.1,241,5618,3845,232,5724,3460,239,5586,3698
96,0:48:00,25.1,230,5684,3906,242,5813,3489,235,5560,3684
97,0:48:30,25.1,224,5779,3846,247,5784,3532,243,5578,3658
98,0:49:00,25.1,233,5586,3892,254,5696,3472,237,5470,3745
