,Time,"T° triggered:563,592",K5,K6,K7,K8,K9,L5,L6,L7,L8,L9,M5,M6,M7,M8,M9
0,0:00:00,25.1,224,5783,5655,1828,448,234,5736,5725,1868,485,247,5525,5618,1784,523
1,0:00:30,25,230,5798,5660,1906,489,205,5782,5792,1920,533,233,5577,5717,1848,541
2,0:01:00,25.1,235,5851,5841,1972,511,240,5661,5967,2035,530,216,5648,5703,1979,552
3,0:01:30,25,227,5871,5734,2184,552,226,5813,5761,2046,582,223,5705,5719,1994,603
4,0:02:00,25,222,5853,5796,2138,578,249,5710,5831,2173,601,260,5680,5797,2101,628
5,0:02:30,25.1,242,5763,5706,2233,658,235,5635,5797,2158,668,230,5578,5661,2165,649
6,0:03:00,25,232,5820,5698,2276,684,238,5677,5730,2265,688,229,5604,5718,2225,659
7,0:03:30,25,234,5771,5749,2279,706,223,5617,5821,2270,707,224,5684,5758,2258,736
8,0:04:00,25,220,5976,5737,2385,730,225,5731,5894,2394,761,221,5671,5835,2353,766
9,0:04:30,25,258,5904,5906,2362,763,233,5749,5767,2392,763,232,5600,5755,2378,791
10,0:05:00,25.1,224,5833,5842,2482,797,228,5822,5839,2400,829,228,5659,5777,2449,826
11,0:05:30,25,241,5888,5798,2496,801,234,5723,5772,2489,884,243,5624,5694,2517,904
12,0:06:00,25,256,5919,5875,2564,868,246,5761,5882,2477,899,202,5697,5843,2512,862
13,0:06:30,25.1,241,5869,5733,2674,923,229,5799,5765,2612,876,222,5815,5751,2557,894
14,0:07:00,25,250,5877,5757,2703,909,230,5803,5737,2569,938,241,5686,5781,2560,986
15,0:07:30,25,241,5834,5768,2662,976,252,5751,5744,2659,1033,242,5706,5704,2592,1019
16,0:08:00,25.1,229,5773,5763,2632,1010,238,5760,5878,2635,1015,228,5674,5754,2587,1036
17,0:08:30,25,231,5964,5823,2678,1020,234,5831,5875,2646,1098,231,5644,5795,2651,1030
18,0:09:00,25,225,5794,5754,2792,1069,230,5721,5823,2786,1128,218,5724,5800,2732,1120
19,0:09:30,25,239,5865,5818,2741,1142,233,5747,5789,2835,1129,227,5739,5667,2678,1110
20,0:10:00,25,235,5888,5758,2882,1147,247,5751,5785,2836,1154,245,5529,5883,2735,1196
21,0:10:30,25,214,5892,5783,2851,1162,229,5803,5763,2857,1242,225,5764,5765,2789,1182
22,0:11:00,25.1,243,5803,5821,2828,1230,229,5685,5719,2965,1218,252,5659,5703,2844,1229
23,0:11:30,25.1,234,5884,5835,2932,1258,237,5800,5809,2863,1269,226,5665,5842,2915,1356
24,0:12:00,25.1,244,5806,5710,2854,1307,221,5776,5821,2935,1255,249,5689,5755,2906,1311
25,0:12:30,25.1,245,5924,5802,2943,1371,242,5812,5771,2956,1323,263,5623,5788,2871,1354
