,Time,"T° triggered:563,592",E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
0,0:00:00,25,769,6884,869,1720,217,8622,243,3910,210,9458,262,5467,778,7186,900,1698,207,8467,254,2993,201,9676,268,3890,713,7038,893,3184,190,8694,264,4486,201,9521,270,5534
1,0:00:30,25,811,7269,889,1808,197,8657,235,4120,198,9435,273,5532,731,7499,908,1795,209,8770,256,3187,211,9727,288,4098,767,7342,904,3315,209,8880,274,4702,198,9514,289,5677
2,0:01:00,25,738,7418,896,1861,211,8800,262,4119,199,9543,267,5643,756,7559,919,1840,224,8650,276,3290,211,9703,272,4376,765,7691,912,3307,203,8701,247,4657,195,9468,257,5721
3,0:01:30,25,780,7697,924,1868,221,8663,254,4232,180,9718,270,5874,759,7824,939,1896,216,8738,255,3457,200,9733,286,4491,764,7743,944,3310,209,8853,238,4751,203,9521,260,5876
4,0:02:00,25,811,7772,925,1889,192,8771,269,4337,196,9671,257,5915,801,7876,927,1890,219,8727,265,3664,201,9828,299,4553,799,7862,897,3367,203,8792,260,4783,207,9519,269,5967
5,0:02:30,25,735,7785,894,1936,238,8691,266,4540,200,9913,269,5937,779,7849,978,1952,218,8773,264,3641,201,9783,267,4774,755,7842,941,3350,224,8774,276,4858,207,9721,292,6035
6,0:03:00,25,777,7820,944,1959,205,8867,235,4555,209,9642,257,6118,763,7939,984,1985,203,8857,260,3796,200,9825,276,4778,747,7828,893,3428,222,8792,284,4866,216,9701,258,6031
7,0:03:30,25,802,7814,917,1998,207,9040,260,4619,205,9770,271,6183,803,8004,926,1935,193,8821,269,3819,220,9851,287,4958,769,7985,885,3380,197,8827,262,4994,199,9544,273,6220
8,0:04:00,25,770,7838,919,2037,196,8856,267,4702,207,9682,260,6213,765,8041,959,2064,210,8936,277,3989,207,9798,283,5193,736,8026,938,3433,212,8644,260,5111,210,9536,298,6145
9,0:04:30,25,777,7908,929,2067,226,8947,284,4771,212,9686,263,6313,783,8129,984,2066,229,8911,258,4084,217,9815,257,5205,753,7982,962,3448,190,8787,255,5113,208,9515,285,6398
10,0:05:00,25,785,7867,928,2097,217,8818,264,4867,203,9917,285,6234,771,8097,940,2073,215,8672,296,4159,203,9843,282,5422,789,7988,919,3468,211,8850,292,5214,207,9556,279,6430
11,0:05:30,25,788,8000,951,2133,205,8909,269,4904,197,9710,259,6474,801,8104,933,2005,202,8788,287,4245,215,9983,284,5516,762,8042,896,3544,200,8755,291,5344,201,9513,249,6458
12,0:06:00,25,789,7946,916,2162,218,8929,260,4888,226,9802,257,6558,746,8192,980,2086,228,8980,268,4271,191,9930,262,5484,772,8052,940,3506,196,8820,247,5254,199,9756,298,6486
13,0:06:30,25,745,8000,883,2151,215,9107,267,4981,189,9723,238,6612,839,8217,1008,2163,217,8944,285,4418,219,9919,291,5497,770,7999,939,3514,189,8776,268,5253,201,9600,285,6502
14,0:07:00,25,801,8013,948,2203,214,8952,281,5146,202,9783,270,6584,805,8271,1007,2196,199,8824,265,4257,215,10016,275,5658,752,8079,927,3540,190,8866,259,5419,206,9680,281,6657
15,0:07:30,25,770,8112,942,2247,226,9078,266,5061,202,9865,273,6628,791,8199,978,2206,236,8853,280,4424,217,10041,290,5726,734,8104,985,3535,218,8836,285,5394,195,9628,261,6702
16,0:08:00,25,801,8112,921,2295,213,8913,275,5133,188,9674,290,6719,783,8216,1000,2198,219,8970,287,4518,229,9934,277,5798,754,8128,945,3533,214,8734,268,5396,193,9701,288,6731
17,0:08:30,25,763,7993,956,2277,222,8905,289,5134,198,9715,264,6650,783,8167,984,2292,203,8820,285,4599,215,10130,310,5845,750,8086,957,3550,212,8789,266,5498,204,9597,270,6722
18,0:09:00,25,790,8143,947,2345,213,8914,294,5092,179,9801,277,6853,805,8089,1020,2260,221,8860,261,4642,218,9888,294,5931,744,8150,948,3626,216,8843,282,5329,203,9786,291,6822
19,0:09:30,25,783,7969,918,2333,208,8797,272,5168,193,9808,269,6800,800,8313,935,2309,204,8848,275,4692,212,9918,301,6029,739,8066,974,3587,192,8830,261,5537,214,9834,298,6746
20,0:10:00,25,773,8039,953,2333,200,8994,275,5278,209,9823,267,6909,788,8251,970,2323,214,8948,290,4674,211,9996,283,6024,793,8017,987,3693,202,8798,270,5672,198,9633,298,6940
21,0:10:30,25,779,8070,969,2411,211,9083,273,5318,205,9860,283,6843,828,8341,973,2323,200,8909,269,4663,233,9925,292,6089,814,8095,1000,3689,204,8784,268,5550,195,9635,288,6993
22,0:11:00,25,778,8079,949,2343,208,8881,270,5351,203,9792,278,6962,786,8158,974,2296,204,9022,279,4887,219,9967,294,6119,779,8125,957,3683,204,8847,283,5548,210,9755,309,6990
23,0:11:30,25,749,8230,949,2364,214,8884,274,5445,221,9845,295,6927,780,8202,958,2456,211,8973,259,4917,211,10052,289,6159,766,8026,985,3619,200,8851,273,5650,221,9738,286,7052
24,0:12:00,25,790,8104,977,2385,218,8964,298,5531,201,9874,268,7022,777,8185,959,2474,240,8934,288,4911,218,9852,295,6182,797,8048,953,3670,210,8817,279,5690,217,9628,275,7026
25,0:12:30,25,775,8017,912,2472,208,9070,297,5432,167,9749,284,7015,786,8308,935,2483,222,8911,286,4920,212,9925,295,6319,814,8107,959,3674,195,8884,281,5725,205,9712,267,7156
26,0:13:00,25,747,8085,963,2492,224,9000,281,5427,199,9922,276,6991,802,8168,989,2419,225,8947,294,4994,197,10003,308,6363,785,8162,976,3694,204,8799,316,5764,219,9633,299,7007
27,0:13:30,25,819,8299,935,2467,201,9097,294,5487,206,9754,273,7147,810,8169,1009,2453,207,8979,309,4938,214,9749,318,6398,771,8085,981,3688,218,8856,294,5733,194,9846,306,7177
28,0:14:00,25,789,8102,1000,2480,215,9021,271,5463,202,9873,283,7161,781,8283,965,2498,224,8952,301,5055,194,9947,289,6444,756,8230,952,3724,211,8994,273,5803,220,9822,283,7124
29,0:14:30,25,775,8201,983,2594,218,9056,272,5544,226,9968,309,7031,774,8271,1002,2533,209,8834,296,5141,219,9859,311,6447,756,8168,938,3774,198,8732,283,5765,205,9590,324,7179
30,0:15:00,25,813,8191,957,2579,216,9034,298,5551,208,9911,299,7141,819,8051,1002,2512,204,9097,299,5198,204,9957,305,6495,798,8171,1022,3743,208,8847,310,5827,213,9636,301,7258
31,0:15:30,25,812,8096,998,2618,220,9090,279,5516,215,9977,278,7246,772,8305,1014,2479,232,8875,275,5057,196,10044,301,6501,745,8179,982,3723,200,8833,259,5837,198,9616,299,7233
32,0:16:00,25,764,8158,956,2638,220,8927,285,5719,233,9766,276,7203,793,8196,975,2535,206,8763,301,5240,189,9997,295,6607,785,8223,958,3617,232,8905,288,5793,209,9920,291,7299
33,0:16:30,25,750,8179,938,2531,214,9085,272,5567,203,9823,274,7119,797,8157,938,2585,231,8898,287,5215,225,10088,320,6624,744,8322,969,3609,215,8917,296,5728,204,9791,314,7297
34,0:17:00,25,752,8048,951,2641,216,9006,305,5607,209,9786,315,7194,831,8302,1051,2561,228,9062,282,5268,222,10039,310,6803,824,8293,1001,3831,201,8765,274,5839,171,9697,296,7342
35,0:17:30,25,764,7968,929,2645,198,9020,275,5736,212,10066,296,7178,801,8280,970,2642,204,8838,281,5168,212,9977,306,6675,773,8226,970,3804,208,9103,288,5924,224,9813,305,7287
36,0:18:00,25.1,786,8241,932,2663,219,8967,285,5742,223,9887,288,7272,810,8287,965,2587,244,9036,290,5324,222,9870,299,6701,802,8286,1014,3690,202,8815,303,5914,211,9631,324,7409
37,0:18:30,25.1,798,8093,995,2677,219,9035,286,5735,194,9813,272,7240,755,8285,992,2623,211,8862,280,5388,205,9891,306,6727,767,8347,977,3812,209,8968,276,6032,199,9717,300,7368
38,0:19:00,25.1,810,8093,989,2639,206,9027,304,5767,200,9873,274,7314,817,8311,1004,2674,233,8969,303,5431,205,9848,294,6748,774,8114,977,3746,183,8955,311,5973,192,9714,291,7333
39,0:19:30,25.1,751,8208,1001,2660,191,9150,312,5721,204,9850,296,7245,811,8254,983,2686,203,9083,305,5271,216,10044,295,6693,803,8299,1003,3777,207,8974,289,6042,197,9834,298,7435
40,0:20:00,25.1,771,8061,997,2735,207,8874,286,5864,207,9931,281,7331,778,8232,978,2618,222,8924,322,5361,229,9943,305,6858,746,8236,970,3860,206,8860,288,5949,220,9737,317,7440
41,0:20:30,25.1,773,8119,982,2679,215,9019,311,5715,180,10002,281,7448,801,8335,1029,2661,212,9093,281,5412,208,10055,289,6863,772,8215,996,3751,197,8899,276,5989,213,9762,316,7353
42,0:21:00,25.1,772,8041,980,2702,207,9015,289,5952,223,9873,269,7432,790,8270,994,2575,213,9059,293,5579,223,10051,311,6786,747,8138,968,3884,232,8861,270,6113,195,9777,320,7517
43,0:21:30,25,799,7921,978,2748,214,9072,288,5785,224,9952,277,7408,786,8293,992,2693,220,8996,287,5589,202,10107,301,6921,799,8013,965,3961,216,8924,274,6057,205,9736,309,7548
44,0:22:00,25.1,782,8076,979,2763,217,9014,336,5797,175,9890,284,7549,768,8219,1020,2666,212,9068,295,5456,218,9985,305,6926,803,8246,1012,3853,198,8882,280,5973,214,9652,320,7545
45,0:22:30,25.1,788,8147,977,2808,217,9084,282,5869,186,9849,287,7414,827,8323,1004,2686,206,8940,318,5524,216,10157,296,7008,789,8268,1005,3929,199,8751,290,6165,204,9678,297,7505
46,0:23:00,25.1,767,8118,994,2710,217,9061,306,5929,228,9892,319,7486,809,8109,970,2797,194,9024,316,5598,219,9929,309,7072,777,8276,1005,3884,222,8733,312,6075,216,9762,305,7464
47,0:23:30,25.1,808,8154,976,2706,219,8915,318,5851,205,9942,313,7579,803,8348,1041,2778,232,8948,294,5576,199,10048,306,6977,787,8280,981,3918,217,8893,295,6189,214,9655,302,7532
48,0:24:00,25.1,769,8328,980,2779,208,8934,273,6010,206,9968,297,7440,806,8340,1033,2761,244,9000,300,5633,224,10055,306,6970,821,8233,1019,3973,212,8872,312,6139,207,9813,303,7541
49,0:24:30,25.1,776,8247,980,2731,218,8913,270,5954,205,9937,322,7439,794,8276,1015,2804,189,8983,279,5639,205,10068,327,6980,804,8297,1014,3880,203,8824,288,6117,204,9758,288,7554
50,0:25:00,25.1,775,8171,976,2803,234,8844,283,6021,204,9838,296,7461,806,8283,1005,2718,229,9038,293,5595,219,10078,304,7016,789,8259,974,3789,225,8955,273,6170,208,9792,300,7616
51,0:25:30,25.1,794,8266,976,2819,220,9005,287,5902,208,10024,294,7607,774,8216,994,2832,219,9001,280,5660,218,10085,323,7000,766,8330,997,4004,226,9019,265,6107,203,9785,299,7600
52,0:26:00,25.1,804,8251,1040,2878,217,8919,294,6039,198,9741,305,7527,830,8371,1002,2800,212,8909,287,5674,207,10117,312,7017,779,8238,993,3857,197,8846,288,6117,204,9905,315,7651
53,0:26:30,25.1,822,8169,1005,2889,205,9151,315,5987,214,9940,290,7623,776,8311,1046,2780,225,8872,297,5651,224,10032,314,6907,793,8369,999,3948,190,8962,291,6113,202,9783,288,7634
54,0:27:00,25.1,776,8212,995,2840,214,8958,287,5952,196,9859,307,7665,804,8342,1032,2785,224,9088,324,5690,207,9961,322,7136,801,8245,1056,3856,218,8968,276,6192,206,9740,306,7488
55,0:27:30,25.1,778,8090,1022,2822,212,8935,290,6033,194,9814,291,7615,775,8246,1037,2870,202,8985,307,5699,204,10083,321,7092,810,8308,1038,3946,190,8753,326,6131,198,9845,324,7720
56,0:28:00,25.1,826,8222,978,2889,227,8941,295,6102,204,9807,295,7600,803,8344,1007,2953,213,8938,292,5766,218,10119,295,7083,775,8259,984,3823,194,8958,294,6113,221,9692,316,7633
57,0:28:30,25.1,736,8155,1012,2912,191,9017,273,6004,200,9836,304,7609,815,8303,1045,2884,210,8984,313,5731,210,9909,300,7162,780,8266,1029,3894,232,8876,274,6104,184,9875,314,7699
58,0:29:00,25.1,783,8056,955,2855,219,8954,290,6103,210,9866,321,7643,824,8413,1018,2978,223,8857,285,5784,199,10057,300,7245,763,8276,1036,3930,198,8873,318,6365,219,9733,331,7569
59,0:29:30,25.1,791,8281,993,2895,200,8983,300,6109,196,10030,294,7608,813,8191,1096,2882,211,8967,287,5839,223,9940,308,7142,758,8165,1064,4086,200,8904,300,6230,200,9884,323,7664
60,0:30:00,25.1,751,8217,1013,2850,226,9002,307,6033,190,9787,297,7471,786,8226,1055,2914,199,8890,299,5788,210,9948,321,7273,775,8232,1053,3923,205,8891,297,6218,202,9887,318,7724
61,0:30:30,25.1,752,8253,980,2880,218,9006,292,6043,195,9818,301,7658,830,8326,1038,2902,241,8930,305,5780,236,9989,295,7251,764,8081,1007,4042,204,8873,302,6283,214,9868,315,7857
