,Time,"T° triggered120:563,592",E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16
0,0:00:00,25.1,284,3355,6529,9046,17052,295,522,776,999,3477,280,3675,6423,9055,17918,298,551,769,867,3577,311,3476,6379,8919,18110,268,548,786,1130,4515
1,0:00:30,25.1,259,3670,6523,9443,17579,259,535,797,1104,3964,258,3870,6721,9436,18243,258,454,882,1061,4200,273,3804,6730,9420,18513,270,543,902,1240,5111
2,0:01:00,25.1,255,3820,6775,9589,17738,305,565,851,1179,4379,261,3700,6829,9710,18139,240,646,868,1159,4599,278,3818,6901,9765,18497,246,637,931,1409,5475
3,0:01:30,25,272,3730,7042,9852,17320,256,573,1041,1335,4803,289,3620,7157,9904,18247,304,615,908,1189,5242,289,4012,7046,9786,18258,287,695,994,1401,5938
4,0:02:00,25,282,3858,7146,9733,17536,276,588,999,1406,5350,269,3690,7333,10040,18489,294,661,1009,1271,5422,255,3817,7236,9969,18734,248,663,1087,1518,6324
5,0:02:30,25,296,3727,7291,10003,17537,233,672,1109,1545,5505,297,3810,7190,10290,18527,294,742,1112,1492,6021,256,3838,7349,10227,18266,263,789,1150,1726,6612
6,0:03:00,25.1,301,3784,7195,10429,17692,219,735,1056,1654,5982,287,3824,7240,10261,18497,261,747,1165,1476,6104,324,3862,7273,10298,18555,322,737,1213,1777,7178
7,0:03:30,25,251,3755,7241,10463,17474,237,763,1176,1675,6295,291,3902,7184,10545,18408,334,719,1175,1605,6710,255,3805,7434,10243,18870,295,842,1314,1900,7467
8,0:04:00,25.1,274,3636,7177,10552,17858,287,796,1297,1742,6539,289,3913,7255,10459,18358,291,726,1276,1707,7173,258,3769,7226,10275,18254,269,961,1386,1895,7762
9,0:04:30,25.1,305,3738,7301,10710,17600,248,749,1402,1856,7215,266,3790,7282,10465,18139,279,794,1279,1661,7186,262,3854,7291,10838,18699,244,857,1515,2057,7849
10,0:05:00,25,233,3736,7432,10290,17755,326,847,1342,1954,7518,278,3667,7253,10702,18489,278,846,1509,1772,7861,281,4031,7513,10874,18535,283,917,1379,2087,8369
