,Time,"T° triggered:563,592",E2,E3,E4,E5,F2,F3,F4,F5,G2,G3,G4,G5,H2,H3,H4,H5,I2,I3,I4,I5,J2,J3,J4,J5
0,0:00:00,25,758,4114,863,1154,773,4380,852,1090,785,4357,872,1046,296,6991,317,1518,245,7038,319,1422,261,6936,334,1345
1,0:00:30,25,755,4517,860,1133,781,4701,862,1092,790,4922,845,1040,276,7209,312,1570,261,7186,334,1489,263,7256,316,1435
2,0:01:00,25,760,4947,860,1182,808,5181,854,1110,774,5255,848,1152,278,7229,332,1601,286,7319,322,1563,275,7187,329,1421
3,0:01:30,25,778,5128,842,1171,768,5374,826,1149,802,5520,841,1109,254,7269,346,1716,262,7191,318,1564,272,7215,321,1552
4,0:02:00,25,767,5418,882,1152,781,5617,862,1125,811,5582,876,1136,248,7344,324,1711,298,7384,332,1699,268,7376,317,1564
5,0:02:30,25,750,5649,873,1235,771,5759,857,1199,768,5829,847,1146,289,7172,320,1751,264,7362,318,1711,258,7317,306,1594
6,0:03:00,25,809,5758,902,1232,785,5904,895,1135,815,5891,847,1189,284,7354,343,1791,264,7347,330,1750,269,7255,348,1625
7,0:03:30,25,794,5814,869,1213,795,6146,854,1180,763,6035,844,1242,279,7210,367,1856,267,7267,329,1785,288,7368,327,1670
8,0:04:00,25,796,6018,834,1301,792,6156,878,1170,774,6258,933,1108,275,7366,335,1935,281,7359,332,1873,284,7232,346,1688
9,0:04:30,25,771,6139,878,1281,806,6423,860,1190,741,6206,877,1236,252,7552,367,1929,253,7357,355,1811,278,7375,330,1765
10,0:05:00,25,771,6274,891,1251,747,6332,889,1172,775,6203,864,1205,272,7376,317,1923,241,7397,360,1875,278,7260,345,1815
11,0:05:30,25,756,6252,914,1242,763,6476,854,1197,780,6447,897,1230,273,7358,330,2053,267,7343,354,1858,271,7245,338,1819
12,0:06:00,25,821,6232,904,1281,784,6335,901,1154,769,6542,885,1227,276,7404,350,2066,298,7277,334,1946,275,7241,345,1888
13,0:06:30,25,799,6542,894,1235,768,6546,909,1198,780,6458,923,1248,269,7374,344,2086,283,7341,348,1901,256,7417,365,1959
14,0:07:00,25,803,6376,937,1241,801,6558,895,1252,756,6436,868,1176,273,7313,339,2150,293,7273,338,1987,276,7421,349,1957
15,0:07:30,25,792,6317,925,1288,764,6554,864,1193,807,6634,899,1186,274,7469,372,2164,296,7355,352,2018,282,7376,335,1943
16,0:08:00,25,818,6420,914,1266,828,6528,864,1190,783,6593,866,1192,291,7331,344,2146,282,7355,324,2053,272,7331,348,2037
17,0:08:30,25,779,6465,867,1286,768,6744,877,1243,798,6618,900,1240,294,7373,357,2097,250,7305,339,2043,268,7438,346,1954
18,0:09:00,25,782,6463,921,1305,797,6589,902,1228,766,6664,907,1263,267,7309,341,2243,260,7460,332,2082,282,7320,354,2086
19,0:09:30,25,818,6530,882,1325,749,6677,899,1237,811,6641,864,1218,293,7377,354,2210,275,7360,327,2171,248,7373,382,2082
20,0:10:00,25,785,6475,893,1249,771,6615,881,1243,813,6690,918,1224,271,7351,344,2294,314,7262,317,2237,271,7443,336,2091
21,0:10:30,25,782,6526,914,1297,808,6718,903,1257,833,6663,885,1244,286,7277,357,2226,261,7419,344,2117,284,7415,365,2169
22,0:11:00,25,813,6526,894,1294,808,6718,859,1262,803,6613,855,1239,266,7399,342,2276,276,7403,336,2219,274,7330,351,2113
23,0:11:30,25,795,6679,913,1308,803,6745,934,1240,780,6834,909,1260,285,7413,365,2341,299,7424,344,2215,270,7429,338,2142
24,0:12:00,25,801,6636,953,1280,804,6698,911,1272,807,6663,899,1279,245,7453,366,2353,268,7353,351,2250,299,7436,336,2138
25,0:12:30,25,783,6535,853,1340,811,6711,904,1259,813,6703,889,1230,269,7402,359,2338,252,7380,351,2242,276,7314,338,2209
26,0:13:00,25,785,6650,946,1289,789,6723,898,1229,787,6731,909,1222,293,7342,351,2390,266,7331,335,2279,280,7337,359,2210
27,0:13:30,25,776,6590,917,1313,816,6627,916,1268,782,6723,935,1230,260,7354,368,2372,266,7357,352,2396,294,7430,369,2214
28,0:14:00,25,773,6679,907,1318,774,6736,887,1224,824,6837,858,1255,272,7512,343,2452,257,7425,360,2331,281,7406,347,2201
29,0:14:30,25,773,6562,917,1332,823,6874,859,1274,811,6699,916,1291,266,7333,331,2485,282,7428,343,2354,273,7393,337,2274
30,0:15:00,25,772,6661,893,1359,812,6675,897,1301,774,6679,891,1241,287,7482,380,2378,284,7408,350,2365,286,7315,339,2357
31,0:15:30,25,828,6619,918,1345,811,6817,896,1297,784,6734,892,1297,276,7347,368,2527,293,7420,355,2346,290,7383,330,2294
32,0:16:00,25,784,6677,923,1290,830,6902,931,1237,792,6741,899,1275,269,7356,359,2535,261,7327,333,2298,282,7363,366,2413
33,0:16:30,25,820,6555,920,1424,838,6684,885,1311,764,6753,886,1283,288,7434,373,2524,266,7400,352,2408,294,7460,353,2334
34,0:17:00,25,789,6712,912,1346,830,6806,915,1304,831,6782,911,1295,293,7301,342,2526,294,7377,332,2496,283,7319,342,2365
35,0:17:30,25,772,6744,966,1375,840,6919,909,1347,793,6766,921,1258,328,7344,366,2517,270,7417,346,2468,288,7410,376,2387
36,0:18:00,25,788,6710,947,1446,801,6798,974,1336,790,6855,894,1262,269,7414,363,2507,252,7312,332,2370,241,7454,355,2442
37,0:18:30,25,826,6669,952,1374,819,6672,924,1285,806,6739,878,1338,275,7383,345,2570,244,7510,344,2483,263,7301,346,2461
38,0:19:00,25,780,6843,936,1370,793,6760,896,1346,818,6770,870,1329,265,7518,330,2586,273,7441,330,2487,266,7450,353,2400
39,0:19:30,25,818,6643,924,1388,770,6775,866,1276,764,6784,910,1315,270,7391,364,2601,264,7481,371,2521,280,7344,327,2482
40,0:20:00,25,787,6611,866,1408,801,6775,927,1328,778,6944,878,1333,270,7417,357,2621,275,7505,379,2557,284,7346,349,2481
41,0:20:30,25,790,6694,866,1403,805,6893,905,1358,817,6913,870,1337,279,7399,357,2622,276,7295,344,2594,265,7374,370,2521
42,0:21:00,25,763,6724,895,1443,783,6815,917,1301,848,6816,907,1302,302,7393,349,2617,291,7568,346,2574,300,7413,352,2494
43,0:21:30,25,777,6721,915,1337,833,6868,965,1271,821,6743,871,1362,276,7399,345,2725,300,7436,352,2482,247,7347,345,2549
44,0:22:00,25,793,6666,944,1404,781,6650,895,1338,781,6735,914,1366,298,7390,354,2676,275,7439,340,2589,304,7446,346,2516
45,0:22:30,25,811,6648,967,1391,794,6883,929,1340,818,6857,887,1367,294,7415,367,2728,281,7531,345,2703,289,7329,348,2602
46,0:23:00,25,783,6860,943,1392,837,6897,930,1382,857,6873,878,1294,258,7446,383,2671,275,7555,365,2571,302,7506,354,2462
47,0:23:30,25,782,6709,916,1458,806,6928,926,1348,773,6924,871,1307,278,7398,340,2752,276,7381,377,2561,281,7452,341,2559
48,0:24:00,25,783,6621,942,1414,823,6768,955,1356,767,6787,920,1357,295,7473,352,2798,278,7538,343,2634,287,7348,349,2560
49,0:24:30,25,790,6644,913,1396,807,6833,918,1326,789,6835,924,1306,272,7412,383,2790,256,7328,383,2730,262,7375,353,2621
50,0:25:00,25,809,6611,931,1391,767,6801,897,1353,784,6810,912,1373,292,7355,341,2811,280,7479,329,2652,300,7441,362,2640
51,0:25:30,25.1,791,6798,916,1395,799,6922,925,1386,804,6861,909,1355,281,7479,375,2861,259,7380,328,2664,278,7496,370,2672
52,0:26:00,25.1,765,6718,932,1426,802,6827,888,1316,785,6910,887,1397,287,7283,336,2822,270,7465,339,2630,283,7313,327,2714
53,0:26:30,25.1,794,6704,921,1381,822,6804,910,1362,801,6782,882,1360,282,7367,365,2917,291,7589,370,2686,283,7322,350,2678
54,0:27:00,25,813,6689,907,1421,787,6900,890,1389,787,6748,881,1327,287,7466,335,2861,271,7470,346,2773,274,7663,381,2633
55,0:27:30,25.1,786,6718,920,1421,816,6937,891,1385,748,6831,906,1350,285,7384,337,2907,264,7452,324,2702,281,7428,373,2702
56,0:28:00,25.1,834,6730,947,1415,838,6996,930,1376,765,6847,904,1314,294,7480,376,2825,257,7469,350,2766,280,7496,376,2714
57,0:28:30,25,810,6774,942,1403,808,6789,906,1390,782,6805,930,1313,299,7471,374,2817,275,7396,358,2820,293,7437,336,2740
58,0:29:00,25.1,791,6632,922,1449,803,6788,849,1374,780,6879,910,1365,275,7497,341,2847,297,7587,363,2678,287,7439,363,2746
59,0:29:30,25.1,795,6724,938,1431,805,6761,897,1418,805,6722,916,1373,265,7535,345,2955,275,7435,356,2756,278,7450,314,2729
60,0:30:00,25.1,810,6663,985,1434,778,6762,914,1391,801,6900,911,1372,285,7465,361,2884,256,7456,324,2767,281,7430,344,2791
61,0:30:30,25.1,789,6617,912,1427,779,6850,897,1344,808,6829,935,1395,288,7512,335,2933,272,7639,362,2763,296,7527,351,2768
62,0:31:00,25.1,847,6740,963,1384,830,6840,891,1344,812,6833,899,1377,295,7309,353,2976,289,7419,358,2757,268,7342,336,2729
63,0:31:30,25.1,821,6712,913,1439,785,6857,940,1398,746,6783,859,1357,291,7383,360,2929,275,7483,361,2822,291,7468,379,2762
